"nom_fashionjobs","offres_annuaire","fiche_fashionjobs","statut_couverture","type_acteur","methode_rapprochement","company_ids","companies","ambiguite_plusieurs_fiches","offres_base_monde","offres_base_france","offres_base_source_directe_france","offres_directes_sans_pays","ecart_base_direct_fr_moins_annuaire","comparaison_certifiee","domaines_base","sources_catalogue","sources_directes_actives","portails_groupe","statut_recherche","liens_carriere_candidats_non_certifies","sites_candidats_lus","portail_revu","preuve_identite_ou_portail","qualification_documentee","ats_revu","prochaine_action"
"CLAUDIE PIERLOT","80","https://fr.fashionjobs.com/recrutement/claudie-pierlot.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cr5c9308138c86e24341e51b89","Claudie Pierlot","NON","69","39","39","0","-41","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","sandro","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://fr.claudiepierlot.com/fr/nous-rejoindre/joinUs.html | https://www.smcp.com/fr/talents/offres-d-emploi/?keywords=&geographicalLocation=&organisation=24&offerFamilyCategory=&contractType=&experienceLevel=","https://fr.claudiepierlot.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ETAM","68","https://fr.fashionjobs.com/recrutement/etam.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk21s720aa5nv2byuid9uwb","Etam","NON","241","152","152","1","84","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","groupeetam.com","etam:ACTIVE","etam","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"BA&SH","66","https://fr.fashionjobs.com/recrutement/ba-sh.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtjwp1bd0665m72bmgtojhlh","ba&sh","NON","75","58","43","0","-23","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","ba-sh.com","bash-talents:ACTIVE","bash-talents","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://talents.ba-sh.com/fr-FR/offres | https://talents.ba-sh.com/ | https://talents.ba-sh.com/la-maison | https://talents.ba-sh.com/fr-FR/la-maison#la-marque | https://talents.ba-sh.com/fr-FR/la-maison/barbara-sharon | https://talents.ba-sh.com/fr-FR/histoire | https://talents.ba-sh.com/fr-FR/la-maison#valeur | https://talents.ba-sh.com/fr-FR/la-maison# | https://talents.ba-sh.com/we-are-people | https://talents.ba-sh.com/fr-FR/we-are-people/la-communaute | https://talents.ba-sh.com/fr-FR/we-are-people/bash-talks | https://talents.ba-sh.com/fr-FR/we-are-people#metiers | https://talents.ba-sh.com/fr-FR/we-are-people/campus | https://talents.ba-sh.com/fr-FR/la-maison | https://talents.ba-sh.com/fr-FR/we-are-people | https://talents.ba-sh.com/fr-FR/authentification | https://talents.ba-sh.com/fr-FR/offre/BASH_886480 | https://talents.ba-sh.com/fr-FR/offre/BASH_47D618 | https://talents.ba-sh.com/fr-FR/offre/BASH_EAFEBD | https://talents.ba-sh.com/fr-FR/offre/BASH_D54B6E | https://talents.ba-sh.com/fr-FR/offre/BASH_F49219 | https://talents.ba-sh.com/fr-FR/offre/BASH_558E9A | https://talents.ba-sh.com/fr-FR/offre/BASH_3693CB | https://talents.ba-sh.com/fr-FR/offre/BASH_AFC149 | https://talents.ba-sh.com/fr-FR/offre/BASH_E7D14E | https://talents.ba-sh.com/fr-FR/offre/BASH_F29808 | https://talents.ba-sh.com/fr-FR/offre/BASH_F9D48A | https://talents.ba-sh.com/fr-FR/offre/BASH_CF67E1 | https://talents.ba-sh.com/fr-FR/offre/BASH_BB8B01 | https://talents.ba-sh.com/fr-FR/offre/BASH_767DFD | https://talents.ba-sh.com/fr-FR/offre/BASH_01452E | https://talents.ba-sh.com/fr-FR/offre/BASH_22C50B | https://talents.ba-sh.com/fr-FR/offre/BASH_40992D | https://talents.ba-sh.com/fr-FR/offre/BASH_9AAAEC | https://talents.ba-sh.com/fr-FR/offre/BASH_DFED88 | https://talents.ba-sh.com/fr-FR/offre/BASH_35C529 | https://talents.ba-sh.com/fr-FR/offre/BASH_CE23B0 | https://talents.ba-sh.com/fr-FR/offre/BASH_1AC419 | https://talents.ba-sh.com/fr-FR/offre/BASH_7078ED | https://talents.ba-sh.com/fr-FR/offre/BASH_64ACA5 | https://talents.ba-sh.com/fr-FR/offre/BASH_7C43FF | https://talents.ba-sh.com/fr-FR/offre/BASH_DE31B3 | https://talents.ba-sh.com/fr-FR/offre/BASH_48A86A | https://talents.ba-sh.com/fr-FR/offre/BASH_5886BA | https://talents.ba-sh.com/fr-FR/offre/BASH_36196A | https://talents.ba-sh.com/fr-FR/offre/BASH_001CA6 | https://talents.ba-sh.com/fr-FR/offre/BASH_2D00F9 | https://talents.ba-sh.com/fr-FR/offre/BASH_0E4C3F | https://talents.ba-sh.com/fr-FR/offre/BASH_0E06CA | https://talents.ba-sh.com/fr-FR/offre/BASH_DC4504 | https://talents.ba-sh.com/fr-FR/offre/BASH_A50409 | https://talents.ba-sh.com/fr-FR/offre/BASH_15A9CB | https://talents.ba-sh.com/fr-FR/offre/BASH_44A0EB | https://talents.ba-sh.com/fr-FR/offre/BASH_48C149 | https://talents.ba-sh.com/fr-FR/offre/BASH_D6487A | https://talents.ba-sh.com/fr-FR/offre/BASH_A06C22 | https://talents.ba-sh.com/fr-FR/offre/BASH_AD392D | https://talents.ba-sh.com/fr-FR/offre/BASH_2A659A | https://talents.ba-sh.com/fr-FR/offre/BASH_6E06DC | https://talents.ba-sh.com/fr-FR/offre/BASH_296447 | https://talents.ba-sh.com/fr-FR/offre/BASH_D0D5CB | https://talents.ba-sh.com/fr-FR/offre/BASH_21AA43 | https://talents.ba-sh.com/fr-FR/offre/BASH_B50EA9 | https://talents.ba-sh.com/fr-FR/offre/BASH_345906 | https://talents.ba-sh.com/fr-FR/offre/BASH_0DCE4B | https://talents.ba-sh.com/fr-FR/offre/BASH_C17983 | https://talents.ba-sh.com/fr-FR/ | https://talents.ba-sh.com/fr-FR/page/32-mentions-legales | https://talents.ba-sh.com/fr-FR/page/33-protections-des-donnees | https://talents.ba-sh.com/fr-FR/actualites | https://talents.ba-sh.com/en-GB/offres | https://talents.ba-sh.com/es-ES/offres | https://talents.ba-sh.com/it-IT/offres | https://talents.ba-sh.com/de-DE/offres | https://talents.ba-sh.com/zh-CH/offres | https://talents.ba-sh.com/fr-FR/developpement-durable | https://talents.ba-sh.com/fr-FR/actualites/bash-says-bonjour-to-north-america-with-it-s-first-new-york-flagship- | https://talents.ba-sh.com/fr-FR/actualites/handicap-international-x-bash | https://talents.ba-sh.com/we-are-people/campus | https://talents.ba-sh.com/en-GB/ | https://talents.ba-sh.com/es-ES/ | https://talents.ba-sh.com/it-IT/ | https://talents.ba-sh.com/de-DE/ | https://talents.ba-sh.com/zh-CH/","https://ba-sh.com/fr/fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"BLACKSTORE","66","https://fr.fashionjobs.com/recrutement/blackstore.html","AUCUN_RAPPROCHEMENT_ETABLI","ENSEIGNE","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","WEBSITE_UNREADABLE","","","https://recrutement.intersport.fr/","https://www.blackstore.fr/qui-sommes-nous/ | https://recrutement.intersport.fr/2026/02/11/conseiller-de-vente-h-f-3/ | https://blackstore.candidater.fr/","OFFRES_SUR_PORTAIL_GROUPE_IDENTIFIEES","Portail groupe France; candidat Intuition à relier","Prouver le périmètre Blackstore sur le portail Intersport; qualifier candidater.fr, sans créer une source sur la seule similitude du nom."
"GROUPE PRINTEMPS","66","https://fr.fashionjobs.com/recrutement/groupe-printemps.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","REGLE_CANONIQUE_CANDIDATE","cmtkdvvqa1s6anf2bc4v3e8e5","Printemps","NON","120","74","67","46","1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","printemps.com","groupe-printemps:ACTIVE","groupe-printemps","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.printemps.com/fr/fr/club-printemps | https://www.groupe-printemps.com/nos-offres-demploi-et-de-stage","https://printemps.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"MAJE","65","https://fr.fashionjobs.com/recrutement/maje.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkf06ej0lqap22bicqm90nc","Maje","NON","148","32","32","0","-33","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","sandro","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://www.smcp.com/en/talents/","https://us.maje.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"SEPHORA","64","https://fr.fashionjobs.com/recrutement/sephora.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk48dz71brqny2bsyv4ml8m","Sephora","NON","2299","170","170","0","106","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","sephora.com","sephora-france:ACTIVE","sephora-france | lvmh","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"BOARDRIDERS","63","https://fr.fashionjobs.com/recrutement/boardriders.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtm7ucwb10zupv5jceo6wpcz","Boardriders","NON","46","46","44","0","-19","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","boardriders.com","","element-6","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.boardriders.com/fr-fr/carriere/ | https://www.boardriders.com/fr-fr/carriere-corporate/ | https://www.boardriders.com/fr-fr/carriere-retail/ | https://www.boardriders.com/fr-fr/carriere-distribution/ | https://www.boardriders.com/fr-fr/carriere-etudiants/ | https://career5.successfactors.eu/careers?company=NAPALIDP | https://www.boardriders.com/en-gb/careers/ | https://jobs.boardriders.eu/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_city=&optionsFacetsDD_customfield2=Retail | https://jobs.boardriders.eu/search/?createNewAlert=false&q=&optionsFacetsDD_country=&optionsFacetsDD_city=&optionsFacetsDD_customfield2= | https://www.boardriders.com/en-gb/careers-corporate/ | https://www.boardriders.com/en-gb/careers-retail/","https://www.boardriders.com/fr-fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"THE KOOPLES","55","https://fr.fashionjobs.com/recrutement/the-kooples.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlymv130ftcqf5ksa2087g6","The Kooples","NON","69","56","56","0","1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","thekooples.com","the-kooples:ACTIVE","the-kooples","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://careers.thekooples.com/fr/ | https://careers.thekooples.com/fr | https://careers.thekooples.com/en | https://careers.thekooples.com/fr/annonces","https://www.thekooples.com/fr/fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"HISTOIRE D'OR","51","https://fr.fashionjobs.com/recrutement/histoire-d-or.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtmkagh72joxpv4x39t228br","Histoire d'Or","NON","56","56","0","0","-51","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","histoiredor.com","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","","https://www.histoiredor.com/fr_FR","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"PRIMARK","51","https://fr.fashionjobs.com/recrutement/primark.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtn76cbr1guhqq5lw7243y4e","Primark","NON","929","67","67","0","16","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","primark.com","primark:ACTIVE","primark","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://primark.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ZADIG & VOLTAIRE","47","https://fr.fashionjobs.com/recrutement/zadig-voltaire.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","MAISON","NOM_ALIAS_ET_DECISION_DOCUMENTEE","cmtkdvuvh1ruynf2bgauxrzqm","ZADIG & VOLTAIRE","NON","10","10","0","0","-47","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","zadig-et-voltaire.com","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://zadig-et-voltaire.com/content/join-us","https://zadig-et-voltaire.com/","https://zadig-et-voltaire.com/eu/fr/content/job-recruitment","https://zadig-et-voltaire.com/eu/fr/content/job-recruitment","PAGE_OFFICIELLE_CONFIRME_FLUX_A_TROUVER","","La page officielle fournit un email de candidature; poursuivre la recherche du flux public et distinguer les boutiques partenaires."
"FURSAC","45","https://fr.fashionjobs.com/recrutement/fursac.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cr57e9ef0f339cdfa95081d842","Fursac","NON","35","30","30","0","-15","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","sandro","","ATS_HINT_REVIEW_REQUIRED","https://www.welcometothejungle.com/fr/companies/de-fursac","https://fr.fursac.com/fr","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"LE BON MARCHÉ","44","https://fr.fashionjobs.com/recrutement/le-bon-marche.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk48eex1bxlny2b3drci9sc","Le Bon Marché","NON","48","48","46","0","2","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","lebonmarche.com","","lvmh","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ADOPT PARFUMS","43","https://fr.fashionjobs.com/recrutement/adopt-parfums.html","AUCUN_RAPPROCHEMENT_ETABLI","MAISON","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","https://adopt.flatchr.io/fr/company/adopt/","https://fr.linkedin.com/posts/adoptparfums_alternance-adoptparfums-emasup-activity-7348719608440262656-60bk | https://adopt.flatchr.io/fr/company/adopt/","PORTAIL_LIE_PAR_PUBLICATION_OFFICIELLE_CONFIRME","Flatchr; flux et pagination à valider","Flux public embarqué mesuré: 121 entrées publiées, dont 82 France. Développer et valider le connecteur Flatchr, identité structurée et postconditions avant activation."
"SANDRO","43","https://fr.fashionjobs.com/recrutement/sandro.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk29nb80m1dnv2bg5xl385h","Sandro","NON","102","28","28","0","-15","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","sandro-paris.com","sandro:ACTIVE","sandro","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://www.smcp.com/fr/talents/offres-d-emploi/","https://fr.sandro-paris.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
