maison,ats,config_json,job_count,evidence
Cartier,Workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",104,"Same 1306-record feed; logoImage.alt=""Cartier Logo"" on 104. Verified detail GET .../job/LONDON/Cartier--Sales-Associate--Seasonal-FTC-_JR132947"
Carven,none,{},0,WTTJ carven / maison-carven nbHits=0; carven.com HTTP 200 no careers link; greenhouse/lever/recruitee/teamtailor slug carven all 404
Casablanca,none,{},0,"WTTJ nbHits=0; casablancaparis.com HTTP 200; sitemap fully expanded, zero careers/jobs URLs"
Casablanca Paris,none,{},0,Same entity as Casablanca; casablancaparis.com sitemap has no careers page
Caudalie,Custom in-house (caudalie.career),"{""origin"":""https://caudalie.career"",""endpoint"":""/home/ajax_filter_offers"",""method"":""POST"",""body"":""offerFilter[profession]=&offerFilter[contract_type]=&offerFilter[location]=""}",41,"POST https://caudalie.career/home/ajax_filter_offers with form fields offerFilter[profession]/[contract_type]/[location] (empty) -> {""status"":""success"",""code"":200,""results"":[...]} 41 job records e.g. slug EGTB8T ""STAGE - ASSISTANT(E) COMMERCIAL(E) TRAVEL RETAIL"". robots: ""User-agent: * / Allow: /"""
Cecilie Bahnsen,none,{},0,"WTTJ nbHits=0; ceciliebahnsen.com HTTP 200; sitemap expanded, zero careers URLs"
Celine,Algolia-LVMH,"{""appId"":""SDMQTD2J9T"",""index"":""PRD-en-us"",""filters"":""category:job AND maison:Celine""}",138,"Same LVMH Algolia index, maison facet -> Celine=138"
CeraVe,Avature,"{""origin"":""https://careers.loreal.com""}",11,"GET .../SearchJobs/?listFilterMode=true&search=CeraVe -> 200, 11 unique JobDetail links e.g. ""Assistant E-Commerce Manager Tmall CeraVe""/254086; jobOffset=20 -> 0 (no page 2)"
Cerruti 1881,none,{},0,"WTTJ cerruti / cerruti-1881 nbHits=0; cerruti.com HTTP 200, no careers link or vendor"
CFCL,Wantedly,"{""origin"":""https://www.wantedly.com"",""company"":""company_7031241""}",9,"cfcl.jp/pages/careerspage links 8 wantedly.com/projects/*; GET https://www.wantedly.com/companies/company_7031241/projects -> title ""CFCL adverts"" + 9 distinct /projects/N"
Chantecaille,Beiersdorf-Sitecore,"{""origin"":""https://www.beiersdorf.com"",""path"":""/ajax/Jobboard/JobResultAjax"",""contextItemId"":""{213FB95D-4545-426C-9F6A-7CD5753A00EA}"",""lang"":""en""}",0,"GET https://www.beiersdorf.com/ajax/Jobboard/JobResultAjax?...&page=1..14 -> data-result-count=127, 120 unique titles; 0 occurrences of Chantecaille. chantecaille.com has no careers link; /careers 404."
Chantelle,Talentsoft,"{""origin"":""https://groupechantelle-recrute.talent-soft.com""}",2,"GET /offre-de-emploi/liste-offres.aspx -> 200, title ""GROUPE CHANTELLE - Resultat de votre recherche (32 offres)""; 4 pages = 32 unique offers, 2 with chantelle in slug"
Chantelle X,Talentsoft,"{""origin"":""https://groupechantelle-recrute.talent-soft.com""}",0,"Same board, all 32 offer slugs enumerated; zero mention chantelle-x. Sub-line has no distinct postings."
Chargeurs,none,{},0,"WTTJ nbHits=0; robots ""User-agent: * / Disallow:"" (all allowed); chargeurs.com/page-sitemap.xml = 32 pages, zero careers/recruitment pages; /en/join-us/ and /carrieres/ both 404; no Workday tenant"
Charles de Vilmorin,none,{},0,WTTJ nbHits=0; charlesdevilmorin.com DNS-FAIL (domain does not resolve)
Charlotte Tilbury,WTTJ,"{""slug"":""charlotte-tilbury""}",17,"POST https://CSEKHVMS53-dsn.algolia.net/1/indexes/wttj_jobs_production_fr/query filters=organization.slug:charlotte-tilbury -> nbHits=17, hits[].organization.name='Charlotte Tilbury'"
Chaumet,Algolia-LVMH,"{""appId"":""SDMQTD2J9T"",""index"":""PRD-en-us"",""filters"":""category:job AND maison:Chaumet""}",20,"Same LVMH Algolia index, maison facet -> Chaumet=20"
Chevignon,none,{},0,Only documented ATS recrutement.chevignon.profils.org -> DNS NXDOMAIN (decommissioned); chevignon.fr homepage has no careers link
Chic et Style,none,{},0,"WTTJ nbHits=0; chicetstyle.fr HTTP 200, no careers link or vendor"
Chloé,Workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",9,"Same 1306-record feed; logoImage.alt=""Chloe Logo"" on 9 e.g. ""CDI - Responsable Qualite Matiere (H/F/X)"""
Chloe Parfums,SuccessFactors,"{""origin"":""https://careers.coty.com""}",0,GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 0 titles contain Chlo
Chopard,Cornerstone (CSOD),"{""origin"":""https://eu-fra.api.csod.com"",""corp"":""chopard"",""careerSiteId"":1}",0,"chopard.com footer -> chopard.csod.com/ux/ats/careersite/1/home; POST https://eu-fra.api.csod.com/rec-job-search/external/jobs (Bearer from embedded csod.context) -> 200 {""totalCount"":0}. Board real but empty today (pageNumber:0 rejected as ValidationError, proving params honoured). robots Crawl-delay 10 honoured."
Christian Dior Couture,Algolia-LVMH,"{""appId"":""SDMQTD2J9T"",""index"":""PRD-en-us"",""filters"":""category:job AND maison:Christian Dior Couture""}",477,"Same LVMH Algolia index, maison facet -> Christian Dior Couture=477"
Christian Louboutin,unresolved (WAF-BLOCKED),{},0,"christianlouboutin.com -> 403 Akamai WAF; careers./jobs./recrutement. subdomains DNS-FAIL; no Workday tenant (422=wildcard, same as nonsense control); greenhouse/lever/ashby/recruitee/workable 404. Needs headless Chromium."
Christian Louboutin Beauty,SuccessFactors,"{""origin"":""https://jobs.puig.com""}",1,"Same 228-row paged Puig feed; 1 row ""Stage - E-business - Christian Louboutin (H/F)"" Paris 75 FR. Dedicated Louboutin boards are DNS-dead; main site WAF-403."
Christian Wijnants,none,{},0,"WTTJ nbHits=0; christianwijnants.com HTTP 200, no careers link or vendor"
Christofle,none,{},0,No christofle.com careers page; careers/recrutement/jobs.christofle.com all DNS NXDOMAIN. Owner Chalhoub is Teamtailor (careers.chalhoubgroup.com/jobs.json -> 123 real jobs) but ZERO reference Christofle.
Christopher Esber,none,{},0,"WTTJ nbHits=0; christopheresber.com HTTP 200, no careers link or vendor"
Citadium,Drupal custom (Groupe Printemps),"{""origin"":""https://www.groupe-printemps.com"",""path"":""/nos-offres-demploi-et-de-stage"",""query"":""combine=Citadium""}",4,"GET .../nos-offres-demploi-et-de-stage -> ""111 offres correspondantes""; ?combine=Citadium -> ""4 offres correspondantes"" e.g. ""Conseiller de Vente temps partiel (Citadium Paris) H/F"""
Clarins,SuccessFactors,"{""origin"":""https://careers.groupeclarins.com""}",90,"GET https://careers.groupeclarins.com/search/?startrow=0 -> ""Results 1 to 10 of 90""; GET ?startrow=80 -> ""Results 81 to 90 of 90"". Global scope. (Also on WTTJ slug groupe-clarins with only 4.)"
Claudie Pierlot,SmartRecruiters,"{""company"":""SMCP""}",107,"GET https://api.smartrecruiters.com/v1/companies/SMCP/postings?limit=100 -> totalFound=534; paged all 534, ""Brands"" customField=Claudie Pierlot on 107 (Maje 219 / Sandro 125 / Fursac 53 / SMCP 30)"
Cle de Peau Beaute,SuccessFactors,"{""origin"":""https://careers.shiseido.com""}",4,"GET https://careers.shiseido.com/search/?startrow=0 -> ""Results 1 to 50 of 135""; paged 0/50/100 -> 135 unique links; 4 match Cle de Peau"
CLEOR,MyTalentPlug,"{""origin"":""https://carriere.mytalentplug.com/704""}",0,"cleor.com/recrutement-cleor.html -> iframe src=carriere.mytalentplug.com/704?mode=widget; fetched both -> 200, server-rendered ""Aucune offre a afficher"" (board live but empty)"
Clinique,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title:clinique""}",96,"Same ELC sweep, data.count=1400, 1400 records harvested; 96 match /clinique/i"
Clyda,none (not a THOM brand),{},0,"rejoindre.histoiredor.com/le-groupe lists THOM brands: Histoire d'Or, Marc Orian, TresOr, Agatha, Stroili Oro, Franco Gioielli, Oro Vivo - Clyda absent. Clyda is an independent watch brand sold via third-party retailers."
Coach Parfums,none,,0,"No ATS: interparfums.fr (200, 239 hrefs, zero career links; /fr/carrieres 404), interparfums-finance.fr (IR only, no ATS markers), interparfumsinc.com/careers (Wix, only outbound link is LinkedIn jobs). Interparfums SA operates no careers portal."
Color Wow,Avature,"{""origin"":""https://careers.loreal.com""}",2,"GET .../SearchJobs/?listFilterMode=true&search=Color%20Wow -> 200, 2 links: ""Advocacy Influence Manager ColorWow PPD""/251314, ""Brand Business Product Leader for Color Wow""/252164"
Comme des Garçons,none,{},0,"WTTJ nbHits=0; comme-des-garcons.com HTTP 200, no careers link or vendor"
Conde Nast France,Workday,"{""tenant"":""condenast"",""site"":""CondeCareers"",""origin"":""https://condenast.wd115.myworkdayjobs.com"",""appliedFacets"":{""locationCountry"":[""54c5b6971ffb4bf0b116fe7651ec789a""]}}",14,"POST /wday/cxs/condenast/CondeCareers/jobs with FR locationCountry facet -> total=14, all ""91-93 Rue de Richelieu, Paris, FR"" (Vogue/GQ/AD/Vanity Fair France); unfiltered total=139"
Confection de Sully,none,{},0,WTTJ nbHits=0; confectiondesully.fr HTTP 000 (host 213.186.33.5 unreachable/parked)
Coperni,none,{},0,"WTTJ coperni nbHits=0 (query ""Coperni"" returns only unrelated orgs); coperni.com HTTP 200; sitemap expanded, zero careers URLs"
Cosmogen,none,{},0,"WTTJ nbHits=0; cosmogen.fr HTTP 200 PrestaShop catalogue; full link inventory = product/CSS only, no careers page"
Courrèges,none,{},0,"WTTJ courreges nbHits=0; courreges.com HTTP 200, robots allows; sitemap expanded, zero careers URLs; greenhouse/lever/recruitee/teamtailor 404"
Coutumes,none (not a THOM brand),{},0,"Same THOM group page; ""Coutumes"" appears nowhere in THOM's portfolio and no company by that name found"
CoverGirl,SuccessFactors,"{""origin"":""https://careers.coty.com""}",3,GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 3 matching titles (Customer Marketing Mgr CoverGirl; Sr Mgr Social Media COVERGIRL; Marketing Intern CoverGirl & Rimmel)
Crivelli,none,{},0,WTTJ nbHits=0; crivelli-gioielli.com DNS-FAIL; crivelli.it resolves but HTTP 000
Darjeeling,Talentsoft,"{""origin"":""https://groupechantelle-recrute.talent-soft.com""}",26,Same board; 26 of 32 offer slugs contain darjeeling
Dark and Lovely,Avature,"{""origin"":""https://careers.loreal.com""}",0,"GET .../SearchJobs/?listFilterMode=true&search=Dark%20and%20Lovely -> 200, zero JobDetail links (also ""Dark & Lovely"" -> 0)"
Darphin,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title:Darphin""}",1,"Same ELC sweep; 1 record ""Italy Internship Product Marketing Assistant Darphin"""
Darrow,Workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",0,"POST /wday/cxs/pierrefabre/External_Career_Site/jobs {""appliedFacets"":{},""limit"":20,""offset"":0..200} -> total=210, all 210 titles harvested; 0 contain Darrow. robots: Allow /External_Career_Site/"
Davidoff Parfums,SuccessFactors,"{""origin"":""https://careers.coty.com""}",0,GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 0 of 117 titles contain Davidoff
DC Shoes,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",15,Same Magnet feed (total=408); 15 multi-brand Boardriders postings listing DC SHOES among several banners. CAVEAT: no DC-Shoes-only postings exist; these overlap Quiksilver/Roxy/Billabong/RVCA/Element.
De Beers London,SmartRecruiters,"{""company"":""AngloAmericanDeBeersGroup""}",101,"debeersgroup.com/careers/current-vacancies exposes slug; GET https://api.smartrecruiters.com/v1/companies/AngloAmericanDeBeersGroup/postings?limit=100 -> totalFound=101, real records"
De Pino,none,{},0,WTTJ nbHits=0; only depino.it resolves and is a Reggio Calabria parquet-flooring firm (title verified) - wrong entity; no fashion-supplier site found
DECIEM,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title matches deciem OR the ordinary OR niod""}",7,"Same ELC sweep (data.count=1400, 1400 records harvested); 7 records match deciem/the ordinary/niod e.g. ""Keyholder - DECIEM (DM) Nolita New York"", ""Store Associate - The Ordinary - Nolita NYC"""
Decoux,none,{},0,WTTJ nbHits=0; decoux.fr HTTP 200 no careers/vendor; decoux-paris.fr DNS-FAIL
Deloison,none (not a THOM brand),{},0,"Same THOM group page; ""Deloison"" appears nowhere in THOM's portfolio and no company by that name found"
Delsey Paris,none,{},0,"delsey.com robots allows /; /pages/carrieres 302 to homepage (soft-404), /pages/careers 404; no ATS vendor or job feed on site"
Delvaux,Workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",35,"Same 1306-record feed; logoImage.alt=""Delvaux"" on 35 e.g. ""Sales Advisor - Anvers"""
Des Petits Hauts,none,{},0,GET https://despetitshauts.com/pages/nous-rejoindre -> 200; no ATS vendor/iframe/feed; applications go to jobs@despetitshauts.com
Devred 1902,Softy (BLOCKED by robots),"{""origin"":""https://devredjob.devred.com""}",BLOCKED,"https://devredjob.devred.com/robots.txt -> ""User-agent: anthropic-ai / Disallow: /"" and ""User-agent: Claude-Web / Disallow: /"". Vendor Softy confirmed from already-served markup. Listings deliberately NOT fetched."
DFS,SuccessFactors,"{""origin"":""https://careers.dfs.com""}",4,"GET https://careers.dfs.com/search/?startrow=0 -> 'Results 1 to 4 of 4', 4 distinct /job/{Title}/{id}/ links. robots.txt does not disallow /search. Not present in LVMH jobhub maison facet."
Dice Kayek,none,{},0,"WTTJ nbHits=0; dicekayek.com HTTP 200, no careers link or vendor"
Didu,none,{},0,WTTJ nbHits=0; didu.studio DNS-FAIL
Diesel (fragrance),Avature,"{""origin"":""https://careers.loreal.com""}",0,"GET .../SearchJobs/?listFilterMode=true&search=Diesel -> 200, zero JobDetail links"
dinh van,none,{},0,dinhvan.com robots allows careers paths; /fr/recrutement and /fr/carrieres both 404; no careers link or ATS marker in homepage HTML
Dior Joaillerie,none,,0,"Not a separate employer entity: absent from LVMH jobhub maison facet (53 maisons, 5222 job docs, POST SDMQTD2J9T Algolia PRD-en-us category:job). Dior hiring runs under 'Christian Dior Couture' / 'Parfums Christian Dior'."
Diptyque,WTTJ,"{""slug"":""diptyque-paris""}",28,"POST WTTJ Algolia filters=organization.slug:diptyque-paris -> nbHits=28, organization.name=""Diptyque paris"""
Dodo,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com"",""brandMatch"":""title_prefix:DODO""}",6,"Same Kering feed, 1007 records paged; 6 titles prefixed DODO. robots.txt: Allow: /api/pcsx"
Domcia Production,none,{},0,WTTJ nbHits=0; domciaproduction.pl DNS-FAIL; domcia.pl resolves but HTTP 000
