maison,ats,config_json,job_count,evidence
Alexander McQueen,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com""}",21,"GET careers.kering.com/api/pcsx/search?domain=kering.com (session cookie from /careers); paged num=10 -> api count=1007, 1007 positions fetched; robots careers.kering.com explicitly 'Allow: /api/pcsx'. Brand count = titles matching brand. 'mcqueen'=21"
Alexandra Golovanoff,NONE,,,"alexandragolovanoff.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Alexis Mabille,NONE,,,alexismabille.com: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Alled-Martinez,NONE,,,"alledmartinez.com has WILDCARD DNS - careers./jobs./carriere./recrutement./talents./emploi. all return the identical 75499-byte homepage, so a 200 proves nothing. No real careers host; no ATS. No feed."
Alran,NONE,,,alran.fr: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Altuzarra,NONE,,,"altuzarra.com 200 in Chromium; no careers link, no ATS fingerprint; careers paths probed -> none. No feed."
American Vintage,WTTJ,"{""slug"":""american-vintage""}",25,"POST algolia wttj_jobs_production_fr slug:american-vintage -> nbHits=25, org.name='American Vintage'"
AMI Paris,Recruitee,"{""subdomain"":""amiparis""}",22,"amiparis.recruitee.com found in rendered amiparis.com DOM; GET amiparis.recruitee.com/api/offers/ -> 200, offers=22; robots 'User-Agent: * / Disallow: /v/' (api/offers allowed)"
AMIRI,Lever,"{""site"":""AMIRI""}",41,"jobs.lever.co/AMIRI linked from amiri.com/careers; GET api.lever.co/v0/postings/AMIRI?mode=json -> 200, 41 postings; robots api.lever.co 'User-agent: * / Allow: /' Crawl-delay 1"
Ann Demeulemeester,NONE,,,"anndemeulemeester.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Anrealage,NONE,,,anrealage.com: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Antik Batik,NONE,,,"antikbatik.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Apivita,Workable,"{""account"":""apivita""}",11,"GET apply.workable.com/api/v1/widget/accounts/apivita?details=true -> 200, name='APIVITA S.A', jobs=11; robots apply.workable.com 'User-agent: * / Disallow:' (empty=allow all)"
APM Monaco,Workable,"{""account"":""apm-monaco""}",97,"GET apply.workable.com/api/v1/widget/accounts/apm-monaco?details=true -> 200, name='APM Monaco', jobs=97"
Approach People Recruitment,NONE,,,"approachpeople.com/job-search fetched 200; it is a recruitment agency's own job board, no third-party ATS fingerprint and no JSON/feed endpoint exposed. No standard ATS feed."
Aptar Beauty,SuccessFactors,"{""origin"":""https://jobs.aptar.com""}",207,jobs.aptar.com fingerprinted SuccessFactors; GET jobs.aptar.com/search/?startrow=N -> 200 server-rendered /job/{City-Title}/{id}/ links; paged to 207 distinct job ids; robots jobs.aptar.com does not disallow /search/ or /job/. Group-level Aptar feed.
Aramis,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",0,"GET careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com; paged num=10 -> api count=1400, 1400 fetched; robots careers.elcompanies.com explicitly 'Allow: /api/pcsx'. brand match 'aramis'=0 (corporate feed reachable, no Aramis-labelled posting today)"
Arbonne,NONE,,,"arbonne.com returns 403 to both Python and headless Chromium (WAF-BLOCKED, not robots-disallowed). Parent Groupe Rocher: groupe-rocher.com/fr/carrieres Playwright-captured -> only Matomo analytics, page resolved to a 'Vous etes perdu ?' 404. No reachable feed."
Ardazaei,NONE,,,ardazaei.com: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Armand Thiery,WTTJ,"{""slug"":""armand-thiery""}",8,"POST algolia wttj slug:armand-thiery -> nbHits=8, org.name='Armand Thiery'"
Armani Beauty,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
Armor-lux,Werecruit,"{""origin"":""https://careers.werecruit.io"",""slug"":""armor-lux""}",82,"armorlux.com footer -> careers.werecruit.io/fr/armor-lux; GET that page -> 200, 82 distinct /offres/{slug} links server-rendered (no XHR; page IS the feed). robots careers.werecruit.io has only a sitemap line, no Disallow."
Asphalte,WTTJ,"{""slug"":""asphalte""}",11,"POST algolia wttj slug:asphalte -> nbHits=11, org.name='Asphalte'"
Atelier Cologne,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
Atelier d'Ariane,NONE,,,"atelierdariane.fr/recrutement fetched 200 - static page, no ATS fingerprint, no job listings. No feed."
Atelier Leopoldine,NONE,,,atelier-leopoldine.fr: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Atelier Made in Romans,NONE,,,madeinromans.fr: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Atelier Manoukian,NONE,,,www.ateliermanoukian.fr -> ERR_NAME_NOT_RESOLVED. No reachable site.
Atlein,NONE,,,atlein.com returned HTTP 409 in Chromium (site not serving). No feed.
Atto,NONE,,,www.attoparis.com -> ERR_NAME_NOT_RESOLVED. No reachable site.
Aubade,WTTJ,"{""slug"":""aubade""}",26,"POST algolia wttj slug:aubade -> nbHits=26, org.name='Aubade Paris'"
Audemars Piguet,SmartRecruiters (BLOCKED),"{""company"":""audemarspiguet""}",,"careers.audemarspiguet.com embeds smartRecruitersEndpoint=https://api.smartrecruiters.com/v1/companies/audemarspiguet. Its /fr/job-listing renders jobs client-side from that API. robots api.smartrecruiters.com: 'User-agent: * / Disallow: /' (only LinkedInBot is allowed /v1/companies/). DISALLOWED for us -> not fetched, no count."
August Barron,NONE,,,"augustbarron.com 200 in Chromium; no careers link, no ATS. NOTE: ashby board 'august' exists (12 jobs) but is a tech startup (Account Executive / AI Product Engineer / Founding Designer) - REJECTED as a false positive. No feed."
Aveda,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",46,"GET careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com; paged num=10 -> api count=1400, 1400 fetched; robots careers.elcompanies.com explicitly 'Allow: /api/pcsx'. brand match 'aveda'=46"
Avril,NONE,,,"avril-beaute.fr/staffing/job fetched 200; only an Indeed reference, no ATS API. Playwright capture on the careers page showed no ATS XHR. No feed."
Azzaro,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
ba&sh,Custom (talents.ba-sh.com),"{""origin"":""https://talents.ba-sh.com"",""path"":""/fr-FR/offres""}",50,"ba-sh.com -> talents.ba-sh.com/fr-FR/offres; GET -> 200 server-rendered, 50 distinct /fr-FR/offre/BASH_XXXXXX links. No third-party ATS fingerprint (an apparent 'lever' match was the French word 'relever'). robots talents.ba-sh.com disallows only /BACKOFFICE/ /DATAS/ /KERNEL/."
Baccarat,TalentView,"{""slug"":""baccarat"",""websiteId"":3038}",10,"baccarat.com -> baccarat.talentview.io/fr. GET api.talentview.io/funnel/v2/companies/baccarat -> 200 real record (id=1003, name='Baccarat') so NOT wildcard DNS. Playwright capture gave the real listing route; GET /companies/baccarat/campaigns?company_website_id=3038&display_mode=list&offset_start=1 -> 10 campaigns; offset_start=11 -> 0. robots baccarat.talentview.io does not disallow these paths."
Balenciaga,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com""}",127,"GET careers.kering.com/api/pcsx/search?domain=kering.com (session cookie from /careers); paged num=10 -> api count=1007, 1007 positions fetched; robots careers.kering.com explicitly 'Allow: /api/pcsx'. Brand count = titles matching brand. 'balenciaga'=127"
Balmain,Talentsoft,"{""origin"":""https://balmain-career.talent-soft.com""}",,"balmain.com links to balmain-career.talent-soft.com/offre-de-emploi/liste-toutes-offres.aspx; GET -> 200 and pagination links page=2,3,4 present, but offer detail links did not match the expected pattern in the server HTML, so NO verified job count. balmain-career.talent-soft.com serves an EMPTY robots.txt (no restriction)."
Balmain Beauty,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",11,"GET careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com; paged num=10 -> api count=1400, 1400 fetched; robots careers.elcompanies.com explicitly 'Allow: /api/pcsx'. brand match 'balmain'=11"
Baltic Watches,NONE,,,baltic-watches.com: careers paths probed in Chromium -> no ATS fingerprint. No feed.
Banderas Perfumes,SuccessFactors (BLOCKED),"{""company"":""Puig""}",,Same Puig SuccessFactors instance; robots performancemanager.successfactors.eu 'User-agent: * / Disallow: /' -> DISALLOWED. Not fetched.
Barbara Bui,NONE,,,"barbarabui.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Be Maad,NONE,,,"bemaad.com 200 in Chromium; no careers link, no ATS. Parent THOM Group's thomgroup.com/talents/job-offers/ is a WordPress editorial page with no ATS fingerprint and no job links. No feed."
Bell & Ross,NONE,,,"bellross.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Bellerose,NONE,,,"bellerose.be 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
BeneFit Cosmetics,LVMH jobhub (no listing route),"{""origin"":""https://www.lvmh.com"",""offerPath"":""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"LVMH public jobhub API is live and robots-allowed: GET www.lvmh.com/proxyApi/v2/jobhub/criteria?lang=fr -> 200 and this maison IS in the 'maisons' list. robots www.lvmh.com disallows only /*espace-candidat, /*spazio-candidato, /*candidate-portal - /fr/nous-rejoindre/nos-offres is allowed. BUT no listing/search route exists (probed v1+v2: offers, offer/search, offers/search, search, offer/list, jobs, offerList -> all 404; /offer requires a known reference). The listing is client-side and www.lvmh.com kills headless Chromium with ERR_HTTP2_PROTOCOL_ERROR, so references could not be enumerated -> NO verified count."
Berluti,LVMH jobhub (no listing route),"{""origin"":""https://www.lvmh.com"",""offerPath"":""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"LVMH public jobhub API is live and robots-allowed: GET www.lvmh.com/proxyApi/v2/jobhub/criteria?lang=fr -> 200 and this maison IS in the 'maisons' list. robots www.lvmh.com disallows only /*espace-candidat, /*spazio-candidato, /*candidate-portal - /fr/nous-rejoindre/nos-offres is allowed. BUT no listing/search route exists (probed v1+v2: offers, offer/search, offers/search, search, offer/list, jobs, offerList -> all 404; /offer requires a known reference). The listing is client-side and www.lvmh.com kills headless Chromium with ERR_HTTP2_PROTOCOL_ERROR, so references could not be enumerated -> NO verified count."
Bernardaud,NONE,,,bernardaud.com 200 in Chromium; no careers link and no ATS fingerprint; careers paths probed -> none. No feed.
Bexley,NONE,,,"bexley.fr/recrutement fetched 200 and Playwright-captured: only Magento assets + api.beeroot.io (a marketing/visitor tracker, not an ATS). No ATS feed."
Billabong,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",0,Playwright capture on recrutement.groupe-beaumanoir.com/search -> POST api.magnet.work/v2/security/login (usr b64='9550007d348362827f2534be59208f28'). Reproduced login+/v2/job-offers -> total=408 with companies aggregation. robots recrutement.groupe-beaumanoir.com 'User-agent: * / Allow: /'. companies agg has 'Boardriders'=44 (Billabong's parent unit) but NO Billabong entry -> 0 Billabong-labelled offers today.
Biolage,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
Biologique Recherche,NONE,,,"biologique-recherche.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Biotherm,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
Bleu Oceane,NONE,,,"www.bleu-oceane.fr -> ERR_NAME_NOT_RESOLVED. (WTTJ slug 'bleu' exists with 17 jobs but org.name='Bleu', an IT consultancy - REJECTED as a false positive.) No feed."
Bluemarble,NONE,,,www.bluemarble.paris -> ERR_NAME_NOT_RESOLVED. No reachable site.
Bobbi Brown,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",49,"GET careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com; paged num=10 -> api count=1400, 1400 fetched; robots careers.elcompanies.com explicitly 'Allow: /api/pcsx'. brand match 'bobbi'=49"
Bocage,Magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",10,Playwright network capture on recrutement.groupe-eram.com/search showed POST api.magnet.work/v2/security/login then POST /v2/job-offers. Reproduced: login(b64 sitekey / b64 ISO ts) -> token; POST /v2/job-offers (requires skills/jobs/hobbies keys) -> total=89 with companies aggregation. robots recrutement.groupe-eram.com 'User-agent: * / Allow: /'. companies agg: BOCAGE=10
Bodin-Joyeux,NONE,,,www.bodin-joyeux.com -> ERR_NAME_NOT_RESOLVED. No reachable site.
Bofilon,Magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com""}",0,Playwright network capture on recrutement.groupe-eram.com/search showed POST api.magnet.work/v2/security/login then POST /v2/job-offers. Reproduced: login(b64 sitekey / b64 ISO ts) -> token; POST /v2/job-offers (requires skills/jobs/hobbies keys) -> total=89 with companies aggregation. robots recrutement.groupe-eram.com 'User-agent: * / Allow: /'. companies agg lists Gemo/Eram/BOCAGE/TBS/Mellow Yellow/Groupe ERAM/PARADE/DRESCO/LOG XL - no Bofilon entry (0 today).
Bon Parfumeur,NONE,,,"bonparfumeur.com 200 in Chromium; no careers link, no ATS; careers paths probed -> none. No feed."
Bonobo,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",46,Playwright capture on recrutement.groupe-beaumanoir.com/search -> POST api.magnet.work/v2/security/login (usr b64='9550007d348362827f2534be59208f28'). Reproduced login+/v2/job-offers -> total=408 with companies aggregation. robots recrutement.groupe-beaumanoir.com 'User-agent: * / Allow: /'. companies agg: Bonobo=46
Bonpoint,Werecruit,"{""origin"":""https://careers.werecruit.io"",""slug"":""bonpoint""}",14,"bonpoint.com/blogs/actualites/carrieres -> careers.werecruit.io/fr/bonpoint; GET -> 200, 14 distinct /offres/{slug} links (incl. 1 candidature spontanee). robots: no Disallow."
Boramy Viguier,NONE,,,"boramyviguier.com has WILDCARD DNS - careers./jobs./carriere./recrutement./talents./emploi. all return ~1.1KB near-identical placeholders, so a 200 proves nothing. No ATS. No feed."
Bottega Veneta,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com""}",135,"GET careers.kering.com/api/pcsx/search?domain=kering.com (session cookie from /careers); paged num=10 -> api count=1007, 1007 positions fetched; robots careers.kering.com explicitly 'Allow: /api/pcsx'. Brand count = titles matching brand. 'bottega'=135"
Botter,NONE,,,www.botterparis.com -> ERR_NAME_NOT_RESOLVED. No reachable site.
Boucheron,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com""}",52,"GET careers.kering.com/api/pcsx/search?domain=kering.com (session cookie from /careers); paged num=10 -> api count=1007, 1007 positions fetched; robots careers.kering.com explicitly 'Allow: /api/pcsx'. Brand count = titles matching brand. 'boucheron'=52"
Boucheron Parfums,NONE,,,"Operated by Interparfums SA. interparfums.fr homepage + /nous-rejoindre + /en/careers fetched and Playwright-captured -> no careers links, no ATS fingerprint, no XHR. No feed."
