Maison	Offres actives	Secteur	Groupe	Site officiel	URL source	Statut	Note
De Beers London	109	JEWELRY_WATCHES		debeers.com	https://debeers.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski Retail Ventures	117	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Kering Corporate	115	LUXURY		kering.com	https://kering.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Moët Hennessy	106	LUXURY		moethennessy.com	https://moethennessy.com/	RATTACHÉ	Entité juridique / pays rattachée à Moët Hennessy.
MNG-MANGO	107	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
ION	76	RETAIL		ionorchard.com	https://ionorchard.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGO NY	75	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Silbon	75	RETAIL		silbonshop.com	https://silbonshop.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Movado Retail Group	73	RETAIL		movadogroup.com	https://movadogroup.com/	RATTACHÉ	Entité juridique / pays rattachée à Movado Group.
MNG MANGO BELGIQUE S.P.R.L	71	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
MANGO TR TEKSTIL TICARET LTD.S	70	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Kering Eyewear	69	LUXURY	Kering	keringeyewear.com	https://keringeyewear.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Brown Thomas Arnotts	68	RETAIL		brownthomasarnotts.com	https://brownthomasarnotts.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
B2	67	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
LOFT	62	RETAIL		loft.com	https://loft.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
La Halle	63	RETAIL	Groupe Beaumanoir	lahalle.com	https://lahalle.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
NIKE India Technology Center Private	60	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
B's	60	RETAIL		bs-intl.jp	https://bs-intl.jp/	IDENTIFIÉ	Domaine officiel de la marque / société.
Honey Birdette	56	RETAIL		honeybirdette.com	https://honeybirdette.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Soeur	55	FASHION		soeur.fr	https://soeur.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
LVMH Fragrance Brands	54	BEAUTY	LVMH	lvmh.com	https://lvmh.com/	RATTACHÉ	Entité juridique / pays rattachée à LVMH Perfumes & Cosmetics.
Michael Kors Stores California	54	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
New Balance	52	FASHION		newbalance.com	https://newbalance.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Dr Pierre Ricaud	30	BEAUTY	Groupe Rocher	drpierre-ricaud.com	https://drpierre-ricaud.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
LVMH Perfumes & Cosmetics	50	BEAUTY	LVMH	lvmh.com	https://lvmh.com/	RATTACHÉ	Entité juridique / pays rattachée à LVMH Perfumes & Cosmetics.
Boucheron	49	JEWELRY_WATCHES	Kering	boucheron.com	https://boucheron.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
LTD INTERNATIONAL	9	FASHION				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
MORGAN	45	FASHION	Groupe Beaumanoir	morgandetoi.com	https://morgandetoi.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Boardriders	46	RETAIL		boardriders.com	https://boardriders.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Advance Magazine Publishers	46	RETAIL		condenast.com	https://condenast.com/	RATTACHÉ	Entité juridique / pays rattachée à Condé Nast.
UNIQLO EUROPE LIMITED FRENCH BRANCH	45	FASHION		uniqlo.com	https://uniqlo.com/	RATTACHÉ	Entité juridique / pays rattachée à Uniqlo.
Veronica Beard	45	RETAIL		veronicabeard.com	https://veronicabeard.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Fresh	44	BEAUTY	LVMH	fresh.com	https://fresh.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
ETA	44	RETAIL		eta.ch	https://eta.ch/	IDENTIFIÉ	Domaine officiel de la marque / société.
Bonobo	44	FASHION	Groupe Beaumanoir	bonoboplanet.com	https://bonoboplanet.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coach Korea	44	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
Dim	43	RETAIL		dim.com	https://dim.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Orlando Bathing Suit	40	RETAIL		orlandobathingsuit.com	https://orlandobathingsuit.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Delvaux	38	FASHION	Richemont	delvaux.com	https://delvaux.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Michael Kors (Canada)	38	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
Sessùn	36	FASHION		sessun.com	https://sessun.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Michael Kors (UK)	37	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
Caroll	37	FASHION	Groupe Beaumanoir	caroll.com	https://caroll.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Michael Kors (USA)	37	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
Clog	35	RETAIL		clog.fr	https://clog.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
J Choo	35	RETAIL		jimmychoo.com	https://jimmychoo.com/	RATTACHÉ	Entité juridique / pays rattachée à Jimmy Choo.
NIKE de Mexico, S. de R.L. de C.V.	34	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Glitter	34	RETAIL		glitter.se	https://glitter.se/	IDENTIFIÉ	Domaine officiel de la marque / société.
UNIQLO	34	FASHION		uniqlo.com	https://uniqlo.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Gémo	33	RETAIL	Groupe Eram	gemo.fr	https://gemo.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
A.Lange and Sohne	32	JEWELRY_WATCHES	Richemont	alange-soehne.com	https://alange-soehne.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
BRUNELLO CUCINELLI	32	RETAIL		brunellocucinelli.com	https://brunellocucinelli.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Nike Commercial (China)	31	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Swarovski (Deutschland)	31	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
MR MARVIS	30	RETAIL		mrmarvis.com	https://mrmarvis.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Singularu	30	RETAIL		singularu.com	https://singularu.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Vib's	31	FASHION	Groupe Beaumanoir	vibs.com	https://vibs.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski Crystal, S.A de C.V	31	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Versace	31	FASHION		versace.com	https://versace.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Orchestra	29	RETAIL		orchestra.com	https://orchestra.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Nike Sports (China) Co.	30	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
SINTEL	22	FASHION		sintel-recrutement.fr	https://sintel-recrutement.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Kapten & Son	29	RETAIL		kapten-son.com	https://kapten-son.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Pomellato	29	JEWELRY_WATCHES	Kering	pomellato.com	https://pomellato.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Advance Magazine Publishers Inc. HQ	29	RETAIL		condenast.com	https://condenast.com/	RATTACHÉ	Entité juridique / pays rattachée à Condé Nast.
UNIQLO EUROPE LIMITED GERMAN BRANCH	28	FASHION		uniqlo.com	https://uniqlo.com/	RATTACHÉ	Entité juridique / pays rattachée à Uniqlo.
Nike NEON	27	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
State of Art	27	RETAIL		stateofart.com	https://stateofart.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Converse	26	RETAIL		converse.com	https://converse.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
La Mer	26	BEAUTY	Estee Lauder	cremedelamer.com	https://cremedelamer.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Diptyque paris	26	RETAIL		diptyqueparis.com	https://diptyqueparis.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
EPHEMERA	25	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
YAYA	24	RETAIL		yaya.nl	https://yaya.nl/	IDENTIFIÉ	Domaine officiel de la marque / société.
Tissus des Ursules - TDU Group	24	RETAIL		tissusdesursules.fr	https://tissusdesursules.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Fashion Group	24	FASHION	LVMH	lvmh.com	https://lvmh.com/	RATTACHÉ	LVMH Fashion Group — rattaché à lvmh.com.
Michael Kors (Germany)	24	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
MANGO SINGAPORE GARMENTS PTE	24	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Coach Shanghai	23	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
NIKE Retail UK	2	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Corporate J. Crew Group	23	RETAIL		jcrew.com	https://jcrew.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Movado Group	23	RETAIL		movadogroup.com	https://movadogroup.com/	RATTACHÉ	Entité juridique / pays rattachée à Movado Group.
Kendo	21	BEAUTY	LVMH	kendobrands.com	https://kendobrands.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Army Logic	21	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Totême	21	RETAIL		toteme.com	https://toteme.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Alexander McQueen	21	FASHION	Kering	alexandermcqueen.com	https://alexandermcqueen.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
NIKE Korea	21	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Lagardère Travel	20	RETAIL		lagardere-tr.com	https://lagardere-tr.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
The Condé Nast Publications	20	RETAIL		condenast.com	https://condenast.com/	RATTACHÉ	Entité juridique / pays rattachée à Condé Nast.
New Balance Athletic Shoes (UK)	20	RETAIL		newbalance.com	https://newbalance.com/	RATTACHÉ	Entité juridique / pays rattachée à New Balance.
Balzac Paris	20	FASHION		balzac-paris.fr	https://balzac-paris.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Brioni	19	FASHION	Kering	brioni.com	https://brioni.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Gate	19	RETAIL		gate.shop	https://gate.shop/	IDENTIFIÉ	Domaine officiel de la marque / société.
Vitamin A	19	RETAIL		vitaminaswim.com	https://vitaminaswim.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
UNIQLO EUROPE LIMITED SPANISH BRANCH	19	FASHION		uniqlo.com	https://uniqlo.com/	RATTACHÉ	Entité juridique / pays rattachée à Uniqlo.
Blue Banana	19	RETAIL		bluebananabrand.com	https://bluebananabrand.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Horace	19	RETAIL		horace.com	https://horace.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
VEJA	18	FASHION		veja-store.com	https://veja-store.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coast	17	RETAIL		coastfashion.com	https://coastfashion.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski Global Business Services sp. z o.o.	18	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Reb	17	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Sioux	17	RETAIL		sioux.de	https://sioux.de/	IDENTIFIÉ	Domaine officiel de la marque / société.
Fred	17	JEWELRY_WATCHES	LVMH	fred.com	https://fred.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Aéropostale	17	RETAIL		aeropostale.com	https://aeropostale.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
f.a.e.	17	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Groupe Rocher	16	BEAUTY	Groupe Rocher	groupe-rocher.com	https://groupe-rocher.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Richard Ginori	16	RETAIL		ginori1735.com	https://ginori1735.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Respire	16	BEAUTY		respire.co	https://respire.co/	IDENTIFIÉ	Domaine officiel de la marque / société.
NEIMAN MARCUS GROUP TECHNOLOGY SERVICES PRIVATE LIMITED (INDIA)	16	RETAIL		neimanmarcusgroup.com	https://neimanmarcusgroup.com/	RATTACHÉ	Entité technologique Neiman Marcus; domaine corporate actuel utilisé.
La Rosée	15	BEAUTY		larosee-cosmetiques.com	https://larosee-cosmetiques.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski (Schweiz)	15	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Too Faced	15	BEAUTY	Estee Lauder	toofaced.com	https://toofaced.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coach Malaysia SDN. BHD.	15	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
ILIA	15	RETAIL		iliabeauty.com	https://iliabeauty.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
John Henric	14	RETAIL		johnhenric.com	https://johnhenric.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Little Words Project	14	RETAIL		littlewordsproject.com	https://littlewordsproject.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Les Publications Condé Nast	14	RETAIL		condenast.com	https://condenast.com/	RATTACHÉ	Entité juridique / pays rattachée à Condé Nast.
Bellr	14	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Passage du Desir	14	BEAUTY		passagedudesir.com	https://passagedudesir.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Nutrafol	13	RETAIL		nutrafol.com	https://nutrafol.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
KENT	13	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
FROM FUTURE	13	RETAIL		fromfuture.com	https://fromfuture.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
GEORGES	11	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Galileo	13	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Air MI	13	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité/activité Nike Air Manufacturing Innovation — rattachée à nike.com.
Groupe Les Echos Le Parisien	13	LUXURY		lesechosleparisien.fr	https://lesechosleparisien.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGO ÖSTERRREICH HANDELS.	13	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Condé Nast	9	MEDIA_AGENCY	Conde Nast	condenast.com	https://condenast.com/	RATTACHÉ	Entité juridique / pays rattachée à Condé Nast.
Officine Universelle Buly	13	BEAUTY	LVMH	buly1803.com	https://buly1803.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Pegador	13	RETAIL		pegador.com	https://pegador.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Michael Kors Spain, S.L.U.	13	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
DEPECH'MODE	6	FASHION		depechmode-paris.com	https://depechmode-paris.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGONOR Comércio de Vestuário	12	RETAIL		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Brothers	12	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Jules	11	FASHION	AFM/Mulliez	jules.com	https://jules.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski GBS	12	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Nike Israel	12	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Groupe Figaro	12	RETAIL		groupe-figaro.fr	https://groupe-figaro.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
STANLEY/STELLA	10	RETAIL		stanleystella.com	https://stanleystella.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
JUNE	12	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Supergoop!	11	RETAIL		supergoop.com	https://supergoop.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Bleu Libellule	11	RETAIL		bleulibellule.com	https://bleulibellule.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Apivita	11	BEAUTY	Puig	apivita.com	https://apivita.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MNG MANGO IRELAND	11	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
PERCASSI	5	FASHION		percassi.com	https://percassi.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Ysé	11	RETAIL		yse-paris.com	https://yse-paris.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Bego	11	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
MANGO FRANCE, S.A.R.L.	11	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Asphalte	10	FASHION		asphalte.com	https://asphalte.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Oh Polly	11	RETAIL		ohpolly.com	https://ohpolly.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski India Private	11	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
Alaia	11	FASHION	Richemont	maison-alaia.com	https://maison-alaia.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Bréal	11	FASHION	Groupe Beaumanoir	breal.net	https://breal.net/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coach Netherlands B.V. - Taiwan Branch	10	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
OLAPLEX	10	RETAIL		olaplex.com	https://olaplex.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Coach Vietnam Company	10	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
CONCEPT RECRUTEMENT	4	FASHION		concept-recrutement.fr	https://concept-recrutement.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Swarovski Int. d'Italia	10	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
MANGO Polska Sp.z.o.o.	10	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Gianni Versace	10	RETAIL		versace.com	https://versace.com/	RATTACHÉ	Entité juridique / pays rattachée à Versace.
Blend	10	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
HUGO BOSS FRANCE	9	FASHION		hugoboss.com	https://hugoboss.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGO MODA D.O.O.	10	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
Michael Kors (Italy) srl con socio unico	10	RETAIL		michaelkors.com	https://michaelkors.com/	RATTACHÉ	Entité juridique / pays rattachée à Michael Kors.
MECCA Brands NZ	10	RETAIL		mecca.com	https://mecca.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MGI Distribucion S. de R.L. de C.V.	10	RETAIL		movadogroup.com	https://movadogroup.com/	RATTACHÉ	Entité juridique / pays rattachée à Movado Group.
Coach Operations Singapore Pte.	10	RETAIL		coach.com	https://coach.com/	RATTACHÉ	Entité juridique / pays rattachée à Coach.
Qeelin	9	JEWELRY_WATCHES	Kering	qeelin.com	https://qeelin.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Nike China Holding HK	9	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
NIKE Sourcing (Guangzhou)	9	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
Balmain Beauty	9	BEAUTY	Estee Lauder	balmainbeauty.com	https://balmainbeauty.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
BOCAGE	9	RETAIL	Groupe Eram	bocage.fr	https://bocage.fr/	IDENTIFIÉ	Domaine officiel de la marque / société.
Shinola	9	RETAIL		shinola.com	https://shinola.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Lagardère Duty Free	9	OTHER		lagardere-tr.com	https://lagardere-tr.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
Moët & Chandon	9	LUXURY		moet.com	https://moet.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
DIDI	9	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Mateo	9	RETAIL		mateonewyork.com	https://mateonewyork.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
MANGO HUNGARY Kft.	9	FASHION		mango.com	https://mango.com/	RATTACHÉ	Entité juridique / pays rattachée à Mango.
HADDAD BRANDS	9	RETAIL		haddad.com	https://haddad.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
BRIGHT	9	RETAIL				À VÉRIFIER	Nom trop ambigu ou insuffisamment distinctif pour attribuer un domaine sans risque d’erreur.
Swarovski Cristais Ltda.	9	JEWELRY_WATCHES		swarovski.com	https://swarovski.com/	RATTACHÉ	Entité juridique / pays rattachée à Swarovski.
DECIEM	9	BEAUTY	Estee Lauder	deciem.com	https://deciem.com/	IDENTIFIÉ	Domaine officiel de la marque / société.
CAMBIO	9	RETAIL		cambio.de	https://cambio.de/	IDENTIFIÉ	Domaine officiel de la marque / société.
BRS Nike Taiwan	8	RETAIL		nike.com	https://nike.com/	RATTACHÉ	Entité juridique / pays rattachée à Nike.
