maison,ats,config_json,job_count,evidence
Monneau Confection,NONE,,,"monneau.com does NOT resolve (dig +short monneau.com A returns no A record; curl exit 000 = DNS failure, NOT a 403). Real domain is www.monneau.fr (DNS 213.186.33.87, HTTP 200) but it serves an OVH default placeholder: visible text is 'En construction / Ici prochainement... / SITE EN CONSTRUCTION' with OVH hosting help links. robots.txt www.monneau.fr = HTTP 404 (no robots file; nothing disallowed). No website content at all, therefore no careers page and no ATS. WTTJ slug monneau 404 (control zzzznope 404)."
Montblanc,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""listingUrl"":""https://careers.richemont.com/en/jobs/?brand=Montblanc&page={N}"",""brandParam"":""brand""}",100,"careers.richemont.com robots.txt: ""User-agent: * / Allow: /"" (GPTBot/Bytespider/Amazonbot etc are Disallowed but not the generic agent) -> ALLOWED; the /api/ path returns a Cloudflare ""Just a moment..."" challenge (WAF, not robots), so headless Chromium was used on the normal HTML pages. The listing has a real Maison <select name=""brand""> whose options include Montblanc, Panerai, Peter Millar, Piaget, Purdey. Counted unique /en/jobs/jrNNNNN/ ids across ?brand=<M>&page=1..N. Montblanc=100. PAGINATION TRAP: ?from=0/10/20/30 all return page 1 verbatim (same 20 ids) - the real param is page=. Verified Montblanc has exactly 5 pages x20=100 and page=6 returns 0 rows. Negative control ?brand=Zzzznope -> 0 ids."
Montblanc Parfums,BLOCKED_ROBOTS,,,"Parent Interparfums SA. https://www.interparfums.fr/robots.txt contains an explicit block for my own crawler identity: ""User-agent: ClaudeBot"" followed by ""Disallow: /"" (the same file also Disallows Amazonbot, Applebot-Extended, Bytespider, CCBot, CloudflareBrowserRenderingCrawler, Google-Extended, GPTBot, meta-externalagent). NOT FETCHED beyond robots.txt - no workaround, no browser, no UA change. FLAG: this robots.txt also carries a Cloudflare content-signals PROSE PREAMBLE addressed to automated agents (""As a condition of accessing this website, you agree to abide by the following content signals... Content-Signal: search=yes,ai-train=no,use=reference""); treated as DATA, and the machine-readable Disallow is what is being honoured. Both brands are licensed fragrance lines of Interparfums SA with no separate employer entity."
Montlimart,Magnet,"{""siteKey"":""61ffe84ad14ba0fdbb448d2d388ac4e3"",""origin"":""https://recrutement.groupe-eram.com"",""api"":""https://api.magnet.work/v2/job-offers""}",0,"VERIFIED ZERO (no Montlimart bucket). robots.txt recrutement.groupe-eram.com ""User-agent: * / Allow: /"". Same Magnet login+job-offers flow -> data.total=89, all 89 records inline. Per-record ""company"" breakdown: Gemo magasin 39, Eram magasin 12, Bocage magasin 10, TBS magasin 9, Bocage/Eram siege 4, Mellow Yellow magasin 4, Groupe Eram 3, Gemo siege 3, Parade 2, Dresco 1, Log XL 1, TBS siege 1 = 89. no Montlimart bucket. Cross-check: Bocage=10, matching an earlier batch."
Morgan,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",41,"robots.txt recrutement.groupe-beaumanoir.com ""User-agent: * / Allow: /"". Reproduced the Magnet flow: POST https://api.magnet.work/v2/security/login {""usr"":base64(siteKey),""pass"":base64(ISO8601 UTC now)} -> data.token, then POST https://api.magnet.work/v2/job-offers with the required keys (skills/jobs/hobbies/cities/departments/regions/countries/contracts) -> data.total=408 and data.list carried all 408 records inline (no pagination needed). Counted the per-record ""company"" field: MORGAN (Reseau)=37 + MORGAN (Siege)=4. Full company breakdown sums to 408."
Moser,OWN_SITE_STATIC,"{""careers_page"": ""https://h-moser.com/en/jobs"", ""cms"": ""Kirby (content.h-moser.com)"", ""apply"": ""mailto:jobs@h-moser.com"", ""format"": ""PDF job offers, no ATS""}",2,"RECLASSIFIED from NONE: the brand DOES publish offers, just not through a feed/ATS. moser-watches.com HTTP 301 -> h-moser.com (final https://h-moser.com/en, HTTP 200). robots.txt h-moser.com = ALLOWED (Cloudflare-managed; Content-Signal search=yes,ai-train=no,use=reference - a usage signal, not a crawl Disallow; no Disallow line covers /jobs). Careers page found via footer link /en/jobs, confirmed in https://h-moser.com/sitemap.xml (HTTP 200) which lists /de|/en|/fr|/ja|/zh/jobs. VERIFIED NON-ZERO, NO ATS: https://h-moser.com/en/jobs (HTTP 200) is a Kirby-CMS page listing exactly 2 openings, each as a downloadable PDF on content.h-moser.com: 'Sales Coordinator North America (m/w/d) 100%' and 'Precision Engineering - Uhrmacher, Regleur/Regleuse (w/m/d) 100%'; applications go to jobs@h-moser.com. No ATS vendor referenced anywhere in the page. Count = 2 unique job entries read off the rendered page/Nuxt payload. Note: the page's Nuxt config exposes a Kirby API bearer token in client-side source - not used, flagged as a client security issue."
Mossi,NONE,,,"robots.txt www.mossi.fr = ALLOWED (Wix; User-agent: * Allow: /, only Disallow: *?lightbox=; blocks PetalBot only). Proven absence: enumerated https://www.mossi.fr/pages-sitemap.xml (HTTP 200) = complete 46-page inventory, no careers/recrutement page (collections, shop, contact, presse, faq, l-ecole, la-marque...). Homepage link scan found no recruitment link. Negative-controlled sweeps: Greenhouse/Lever/Ashby/Recruitee/WTTJ all 404 with control zzzznope also 404. Small designer label with no careers infrastructure."
Moynat,LVMH_JOBHUB_ALGOLIA,"{""provider"":""lvmh-jobhub"",""algoliaAppId"":""SDMQTD2J9T"",""algoliaApiKey"":""a5c6f4c87dea9aac0732631cd87583b2"",""algoliaUrl"":""https://sdmqtd2j9t-dsn.algolia.net/1/indexes/*/queries"",""indexName"":""PRD-en-us"",""filters"":""category:job AND maison:\""Moynat\""""}",4,"LVMH jobhub Algolia. POST https://sdmqtd2j9t-dsn.algolia.net/1/indexes/PRD-en-us/query (appId SDMQTD2J9T, public search key) filters=""category:job"" facets=[maison] maxValuesPerFacet=300 -> 5222 job docs across 53 maisons; facet value ""Moynat""=4. Negative control filters maison:""Zzzznope"" -> nbHits=0, so the facet is exact not fuzzy. Verified against exact filter query too."
Mugler,Avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union""}",1,"careers.loreal.com robots.txt ALLOWS /jobs and /content (only *?qtvc= is Disallowed) -> ALLOWED. Avature portal (career.loreal.com/careers 302 -> careers.loreal.com). ENUMERATION: GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 1816 <loc>, of which 1737 /JobDetail/ URLs with 1737 DISTINCT trailing numeric ids (the LVMH-style per-language duplication does not arise: only the en_US sitemap was used). CORRECTION TO THE BRIEF: Avature pagination is NOT ignored here - ?search=NYX&jobOffset=0 returned 11 ids, jobOffset=10 returned the 1 remaining id, jobOffset=20 returned 0. It paginates correctly. The portal DOES expose a Brand facet (field 9141, an ajax AutocompleteMultipleSelectField) but it is UNUSABLE: its options load only via an ajax call, the URL forms are ignored, and job pages carry Brand: ""N/A"" in their analytics payload - i.e. jobs are largely not brand-tagged. The keyword search is also unreliable: it MISSES jobs it should match (search=Mugler -> 0 while job 245985, still HTTP 200, mentions Mugler 26 times) and narrows further with multi-word terms. So the count is the UNION of (a) brand tokens in the 1737 sitemap job-title slugs and (b) the paginated keyword search, deduped on the numeric job id. Negative control search=zzzznope -> 0 ids. COUNT: sitemap 1 (job 245985 ""Manager Community Management Designer Fragrance Brands (Mugler, Maison Margiela Fragrances & Jacquemus) US"", re-fetched HTTP 200 to confirm it is live), keyword search 0 -> union 1. Note this is a shared Designer-Fragrance-Brands role, not Mugler-exclusive."
My Blend,SuccessFactors,"{""origin"":""https://careers.groupeclarins.com"",""listingUrl"":""https://careers.groupeclarins.com/search/?q=&startrow={N}""}",0,"VERIFIED ZERO (feed works, no My Blend job today). My Blend is a Clarins Group brand with no separate careers site. robots.txt careers.groupeclarins.com Disallows only /applybutton/ /talentcommunity/ /services/ etc - /search/ and /job/ ALLOWED. GET https://careers.groupeclarins.com/search/?q=&startrow=0..90 -> final page ""Results 91 to 90 of 90""; harvested all 90 unique /job/<slug>/<id>/. 0 slugs match /my-?blend/i (and 0 match /blend/i). Negative control /zzzznope/ -> 0. group.clarins.com / careers.clarins.com / jobs.clarins.com all fail DNS (curl exit 000, not 403); www.clarins.fr/nous-rejoindre returns HTTP 410 Gone."
Naf Naf,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com"",""api"":""https://api.magnet.work/v2/job-offers""}",0,"VERIFIED ZERO (no NAF NAF bucket in the company breakdown). robots.txt recrutement.groupe-beaumanoir.com ""User-agent: * / Allow: /"". Reproduced the Magnet flow: POST https://api.magnet.work/v2/security/login {""usr"":base64(siteKey),""pass"":base64(ISO8601 UTC now)} -> data.token, then POST https://api.magnet.work/v2/job-offers with the required keys (skills/jobs/hobbies/cities/departments/regions/countries/contracts) -> data.total=408 and data.list carried all 408 records inline (no pagination needed). Counted the per-record ""company"" field: no NAF NAF bucket in the company breakdown. Full company breakdown sums to 408."
NARS,Radancy,"{""origin"":""https://jobs.shiseidoamericas.com"",""sitemap"":""https://jobs.shiseidoamericas.com/sitemap.xml"",""scope"":""Americas only""}",2,"Found from the brand site: https://www.narscosmetics.com/ (robots ""User-agent: * / Allow: /"") -> /USA/career.html -> HTTP 200 whose only ATS host is https://jobs.shiseidoamericas.com. Vendor = Radancy (fingerprint in page source). robots.txt jobs.shiseidoamericas.com is exactly ""User-agent: * / Disallow:/search-jobs/"" - PARTIAL: the search UI is forbidden, so it was NOT fetched; /sitemap.xml and /job/ and /category/ are permitted and were used instead. GET /sitemap.xml -> 139 <loc>, of which 48 unique /job/ URLs (48 distinct trailing ids). 2 job slugs name NARS: sales-and-training-executive-nars-atlanta-ga and planner-supply-planning-nars. Negative control: 0 slugs contain zzzznope. SCOPE CAVEAT: this portal is Shiseido AMERICAS only, so 2 is the Americas count, not NARS worldwide."
Nehera,NONE,,,"robots.txt www.nehera.com = ALLOWED (Shopify; User-agent: * Allow: /). Its AI-agent shopping prose was ignored as data and is flagged. Proven absence: enumerated https://nehera.com/sitemap_pages_1.xml?from=49702830135&to=176772546898 (HTTP 200) = 74 pages, complete list has no careers page (season/collection pages, about, company, contact-us, stores, customer-care...); the /blogs/workshop hit is an artisanal-craft editorial, not jobs. Negative-controlled sweeps: Greenhouse/Lever/Ashby/Recruitee all 404 with control zzzznope also 404. Slovak designer label with no careers infrastructure."
Niccolò Pasqualetti,NONE,,,"niccolopasqualetti.com HTTP 200 (Nuxt SPA). robots.txt = HTTP 404 rendered as a Nuxt '404 - Page not found: /robots.txt' page, i.e. no robots file and nothing disallowed; no sitemap either. Because the site is client-rendered, proved absence with headless Chromium (Playwright): rendered the homepage and enumerated every <a> in the DOM - full nav is /about, /shop/{ready-to-wear,jewellery,accessories,shoes}, /collections/{ss22..fw26}, /pages/{shipping-and-returns,contact,stockists,terms,privacy-policy} and Instagram. No careers/jobs/recruitment link anywhere in the rendered navigation or footer. Independent designer label with no careers infrastructure."
Niely,Avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union""}",0,"careers.loreal.com robots.txt ALLOWS /jobs and /content (only *?qtvc= is Disallowed) -> ALLOWED. Avature portal (career.loreal.com/careers 302 -> careers.loreal.com). ENUMERATION: GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 1816 <loc>, of which 1737 /JobDetail/ URLs with 1737 DISTINCT trailing numeric ids (the LVMH-style per-language duplication does not arise: only the en_US sitemap was used). CORRECTION TO THE BRIEF: Avature pagination is NOT ignored here - ?search=NYX&jobOffset=0 returned 11 ids, jobOffset=10 returned the 1 remaining id, jobOffset=20 returned 0. It paginates correctly. The portal DOES expose a Brand facet (field 9141, an ajax AutocompleteMultipleSelectField) but it is UNUSABLE: its options load only via an ajax call, the URL forms are ignored, and job pages carry Brand: ""N/A"" in their analytics payload - i.e. jobs are largely not brand-tagged. The keyword search is also unreliable: it MISSES jobs it should match (search=Mugler -> 0 while job 245985, still HTTP 200, mentions Mugler 26 times) and narrows further with multi-word terms. So the count is the UNION of (a) brand tokens in the 1737 sitemap job-title slugs and (b) the paginated keyword search, deduped on the numeric job id. Negative control search=zzzznope -> 0 ids. COUNT: sitemap 0, keyword search 0 -> union 0. VERIFIED ZERO (Niely is L Oreal Brazil mass haircare; no posting names it today)."
Nina Ricci,PARENT_PORTAL,"{""origin"":""https://jobs.puig.com"",""listingUrl"":""https://jobs.puig.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",0,"Nina Ricci has NO own careers infrastructure: https://www.ninaricci.com/ HTTP 200 (robots ""User-agent: * / Allow: /"", only /api/* and /_next/ disallowed) and the ONLY careers link in its markup is https://careers.puig.com/ - i.e. it defers entirely to the Puig group portal. VERIFIED ZERO. jobs.puig.com robots.txt Disallows only /applybutton/ /talentcommunity/ /emailsubscribe/ /email/image/ /services/ /preapply/ /error /unsubscribe/ /reset/ - /search/ and /job/ are ALLOWED. GET https://jobs.puig.com/search/?q=&startrow=0,25,...,225 -> ""Results 1 to 25 of 228""...""Results 226 to 228 of 228""; harvested 228 unique /job/<slug>/<id>/ entries. 0 slugs match /nina-ricci/i. Brand facet is customfield1 (""Brand"") but its options load only via POST /services/jobs/options/facetValues/ which robots DISALLOWS - not fetched; URL forms ?optionsFacetsDD_customfield1=X and ?customfield1=X are silently IGNORED (negative control ?customfield1=Zzzznope returned the same unfiltered 25 rows), so slug matching over the full harvest was used instead. Sanity check on the same harvest: Byredo=18, matching an earlier batch."
NIOD,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title:NIOD""}",0,"VERIFIED ZERO (feed works, no NIOD-titled jobs today). GET https://careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com&start=0..1390&num=10 -> data.count=1400; harvested 1400 unique positions. NOTE num=100 is silently capped at 10 rows/page, so 10-row paging was used. 0 titles match /niod/i. Method sanity-checked on the same harvest: MAC=221, Clinique=96, Jo Malone=79, Aveda=46, Bumble=3 (matches earlier batches). Negative control /zzzznope/i -> 0. robots.txt careers.elcompanies.com Disallows / but Allows /api/pcsx (PARTIAL)."
NIVEA,Beiersdorf-Sitecore,"{""origin"":""https://www.beiersdorf.com"",""path"":""/ajax/Jobboard/JobResultAjax"",""contextItemId"":""{213FB95D-4545-426C-9F6A-7CD5753A00EA}"",""lang"":""en""}",3,"NIVEA is the Beiersdorf core brand; nivea.com carries no careers section, the group board is www.beiersdorf.com/career. robots.txt www.beiersdorf.com Disallows only /xajax/, /alpacaforms/ and /search-result-page* - /ajax/ and /career/ are ALLOWED. GET https://www.beiersdorf.com/ajax/Jobboard/JobResultAjax?db=web&contextItemId=%7B213FB95D-4545-426C-9F6A-7CD5753A00EA%7D&lang=en&page=1..13 -> HTML fragments carrying data-result-count=""127"". PAGINATION TRAP CONFIRMED: page 13 is the last real page and pages 14,15,16 all return page 13 verbatim (identical first id 3b281d2434) - it CLAMPS rather than returning zero, so a ""stop when empty"" loop never terminates. Pages also return variable row counts (10,6,9,...,5), not a fixed size. Across pages 1-13: 125 <div class=""cw-job-title""> entries (118 distinct titles) and 96 distinct /career/jobs/<hash> links. So DECLARED 127 vs 125 title rows actually collected - 125 is the reproducible figure, 127 is the site's own claim. Proprietary Sitecore job board, not a third-party ATS. 3 job TITLES name NIVEA: ""Commercial Controller - NIVEA"", ""Brand Manager NIVEA"", ""Brand Manager NIVEA - Baltic region"". Group-wide total 127 declared / 125 collected."
Noir Kei Ninomiya,NONE,"{""parent"": ""Comme des Garcons"", ""parent_recruitment_page"": ""https://www.comme-des-garcons.com/recruitment/index.html"", ""apply"": [""saiyo.shinsotsu@comme-des-garcons.co.jp"", ""saiyo@comme-des-garcons.co.jp""], ""format"": ""static HTML, email application, no ATS""}",,"No own domain: noirkeininomiya.com and www.noirkeininomiya.com do NOT resolve (dig returns no A record; curl exit 000 = DNS failure, NOT a 403). Parent Comme des Garcons: www.comme-des-garcons.com HTTP 200, robots.txt = HTTP 200 but returns the homepage HTML (no robots directives) => nothing disallowed; page meta is index,follow. Found /recruitment/index.html (HTTP 200) via homepage link, with subpages 1.html (2027 shinsotsu / new-grad) and 2.html (chuto / mid-career), both HTTP 200. These are static Japanese HTML pages for Kabushiki-gaisha Comme des Garcons listing job CATEGORIES only (hanbai/sales, eigyo, patterner, seisan-kanri, hosei-gijutsu, hinshitsu-kanri, kikaku), with applications by email. No ATS, no feed, no per-position postings and NO Noir Kei Ninomiya facet or brand breakdown. job_count left EMPTY: the parent publishes job categories, not countable individual postings, so no honest number exists for this label."
Numero,NONE,,,"robots.txt https://numero.com/robots.txt HTTP 200 = ALLOWED (only Disallow /*s=, */feed/, /wp-content/uploads/wp-import-export-lite/). Enumerated the COMPLETE page-sitemap https://numero.com/page-sitemap.xml (HTTP 200, 13 URLs, full list): only /, /en/, /sinscrire/*, /portraits/, /contributeurs/, /mentions-legales/ - no careers page. Standard paths all 404: /recrutement/ /carrieres/ /carriere/ /jobs/ /emploi/ /nous-rejoindre/ (404 each); /contact/ and /mentions-legales/ 200 but contain NO mailto and no recruiting text. WordPress REST https://numero.com/wp-json/wp/v2/types HTTP 200 lists custom post types post,page,attachment,newsletter,contributor,portrait - there is NO job/offre post type. ATS slug sweep on numero, numero-magazine, numeromagazine, numero-media across Greenhouse/Lever/Ashby/Recruitee/Workable/Teamtailor/WTTJ: all 404 (Workable 429 rate-limit on 2, not a hit); negative control slug zzzznope also 404 everywhere. Verdict NONE: a magazine publisher with no careers infrastructure at all - not merely an empty feed."
