libelle,type
Haryana,region
Riyadh Province,region
Gyeonggi-do,region
Gyeonggi,region
경기도,region
Makkah Province,region
# ── Modes de travail et périmètres ──
Remote,mode
Télétravail,mode
Full remote,mode
Home office,mode
Homeoffice,mode
Home-office,mode
Home based,mode
Home-based,mode
Work from home,mode
WFH,mode
Hybrid,mode
Hybride,mode
Onsite,mode
On-site,mode
On site,mode
Flexible,mode
Flex,mode
Various,mode
Various locations,mode
Multiple,mode
Multiple locations,mode
Other,mode
Others,mode
Autre,mode
Autres,mode
Nationwide,mode
National,mode
Anywhere,mode
Virtual,mode
Field,mode
Field based,mode
Field-based,mode
Travel,mode
TBD,mode
TBA,mode
N/A,mode
None,mode
Global,mode
Europe,mode
EMEA,mode
APAC,mode
Asia,mode
Asia Pacific,mode
LATAM,mode
Americas,mode
North America,mode
Amérique du Nord,mode
Worldwide,mode
International,mode
All,mode
Any,mode
Unknown,mode
Not specified,mode
Non précisé,mode
À définir,mode
Divers,mode
全国,mode
开放中,mode
해당사항,mode
Chinese Mainland,mode
# Pays écrits dans leur langue, que country.ts ne lit pas
日本,pays
中国,pays
中國,pays
中国大陆,pays
한국,pays
대한민국,pays
台灣,pays
台湾,pays
Corée,pays
Korea,pays
Republic of,pays
Republic,pays
The,pays
Kingdom of,pays
China Mainland,mode
Mainland China,mode
# ── Services et entités que la source met dans le champ lieu ──
Réseau,service
Network,service
Networks,service
Corporate,service
Head Office,service
Headquarter,service
Headquarters,service
HQ,service
Office,service
Bureau,service
Siège,service
Sede,service
Sede Centrale,service
Retail,service
Wholesale,service
Consulting,service
Marketing,service
Social Media,service
Expansion,service
Organization,service
Transformation and IT,service
Sales Market,service
Saks Direct,service
Alterations,service
ECDC,service
NMG,service
NMS,service
Nm Swrs,service
Northpark,service
Pinnacle Park,service
Dolphin,service
Sawgrass,service
DMV,service
# Un type de contrat rangé dans le champ lieu
CDI,service
CDD,service
Stage,service
Alternance,service
Intérim,service
Interim,service
Freelance,service
Temps plein,service
Temps partiel,service
Full time,service
Part time,service
Full-time,service
Part-time,service
