nom	site	cause	detail
siena d	https://www.siena-d.com/	net-error	UND_ERR_CONNECT_TIMEOUT
pretty vacant	https://www.vacantclothing.co.uk/	dns-dead	no A/AAAA @1.1.1.1
sistie	https://sistie.dk/	net-error	UND_ERR_CONNECT_TIMEOUT
progetto quid	https://shop.progettoquid.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
prima moda	https://www.primamoda.com.pl/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
sasquatchfabrix	https://sasquatchfabrix.com/	dns-dead	no A/AAAA @1.1.1.1
nobell’	https://nobell-fashion.com/	tls-error	CERT_HAS_EXPIRED
recycledbags.co	https://www.recycledbags.co/	dns-dead	no A/AAAA @1.1.1.1
sometime soon	https://www.sometimesoon.com/	net-error	redirect count exceeded
popana	https://popana.com/	http-dead	404
piʻi botanicals	http://piibotanicals.com/	http-dead	409
sandra adrubau	https://sandraadrubau.com/	http-dead	402
red is bad	https://www.redisbad.pl/	dns-dead	no A/AAAA @1.1.1.1
tchai walla	https://tchaiwalla.fr/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
peppercorn	https://peppercorn-fashion.com/	net-error	ECONNREFUSED
senreve	https://www.senreve.com/	http-dead	423
meyba	https://www.meyba.com/en_GB/meyba-lifestyle.html	http-dead	404
oakouture	https://www.oakouture.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
seibu department stores	https://www.seibu.jp/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
re-bello	https://www.re-bello.com/en/	http-dead	402
pro 4	https://www.pro4.nl/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
solvil et titus	http://www.solvil-et-titus.com/hk/en/	http-dead	404
pye shirts	http://www.pyeshirts.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
rupert and buckley	http://www.rupertandbuckley.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
rivet utility	https://rivetutility.com/	http-dead	404
reign italia	https://www.reign.it/	server-error	500
mistervinas	https://mistervinas.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
rich & hanc	https://www.richandhanc.com/	http-dead	404
reiko	https://www.reikojeans.com/	net-error	ECONNREFUSED
s u l t a n	https://www.sultan.si/shoes	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
shycloset	https://shycloset.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
save the queen	https://www.savethequeen.it/en/	http-dead	404
rooted beauty	https://www.grove.co/rootedbeauty	http-dead	404
silver palace	https://shopsilverpalace.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
studio courtenay	https://studiocourtenay.com/	server-error	526
studio 88	https://www.studio-88.co.za/	http-dead	406
rrrrrrrrr	https://merci-saga.com/	net-error	UND_ERR_CONNECT_TIMEOUT
superstainable	http://www.superstainable.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
on parle de vous	https://www.onparledevous.fr/	net-error	ECONNREFUSED
softandwet	https://www.softandwetundies.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
simply9 designs	https://www.simply9designs.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
san marina	https://sanmarina.fr/	tls-error	ERR_SSL_TLSV1_UNRECOGNIZED_NAME
sustain	https://www.sustain.nl/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
samo	https://www.samoshoes.com/	server-error	500
rosalita mcgee	https://www.rosalitamcgee.com/shop/es/en/	http-dead	404
styelle swim	https://www.styelleswim.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
sans arcidet	https://sans-arcidet.fr/	http-dead	402
triumph	https://triumph.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
shoe sensation	https://www.shoesensation.com/	http-dead	405
soeder	https://en.soeder.ch/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
solerebels	https://www.solerebels.com/	http-dead	423
tsl	https://eshop.tslj.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
stenströms	https://stenstroms.com/en	http-dead	404
sacred valley	https://sacredvalley.store/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
queen mum	https://www.noppies.com/en-uk/queen-mum/	http-dead	404
rodeo queen fine art	https://www.rodeoqueenfineart.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
starlight bags	https://www.starlightbags.com/	dns-dead	no A/AAAA @1.1.1.1
scarpe&scarpe	https://scarpescarpe.it/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
root journey	http://rootjourney.com/	http-dead	404
petra design	https://www.petra.design/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
philipp plein	https://www.plein.com/	net-error	redirect count exceeded
senjo color gmbh	https://senjo-color.de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
saavi	https://saavilife.com/	tls-error	CERT_HAS_EXPIRED
the arrivals	https://thearrivals.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
seventy two changes	http://www.truthandpride.com/	dns-dead	no A/AAAA @1.1.1.1
ternua workwear	https://www.ternuagroup.com/en/workwear/	net-error	ECONNRESET
uno due	https://www.unodue.nl/	tls-error	ERR_SSL_TLSV1_UNRECOGNIZED_NAME
selfast	https://shop.selfast.co.za/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
studio jux	https://studiojux.com/	dns-dead	no A/AAAA @1.1.1.1
oberpollinger	https://www.oberpollinger.de/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
thebesttailor	https://www.thebesttailor.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the library	https://www.the-lib.jp/brands/brands-women/brands-women-thelibrary/?sz=12%3Futm_source%3DGoodOnYou+App	http-dead	404
snezhnaya koroleva	https://snowqueen.ru/	net-error	redirect count exceeded
sneaky fox	http://mpdenmark.espresso4.dk/brands/sneakyfox	net-error	UND_ERR_CONNECT_TIMEOUT
tati	https://www.tati.fr/	tls-error	CERT_HAS_EXPIRED
skoki	https://www.skokico.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vintique custom design	https://www.vintiquecustomdesign.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
superbloom	https://www.grove.co/beauty/story/superbloom/	http-dead	404
swords rebel	https://www.swordsrebel.shop/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
tales of anyday	https://talesofanyday.com/	http-dead	409
oetzi	http://oetzi.com.cn/	dns-dead	no A/AAAA @1.1.1.1
oky	https://us.okyofficial.com/	http-dead	404
tamga designs	https://www.tamgadesigns.com/	http-dead	402
tbalance	https://www.tbalance.co.uk/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
secndnture	https://secndnture.com/	tls-error	CERT_HAS_EXPIRED
satori wheels	https://www.satoriwheels.org/	http-dead	404
onetrail	https://onetrailgear.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the good tee	https://www.thegoodtee.com/	http-dead	404
tread & butter	https://treadandbutter.com/	http-dead	423
sproet & sprout	https://sproet-sprout.com/nl/	http-dead	404
thakoon	https://thakoon.com/	tls-error	CERT_HAS_EXPIRED
sockwell	https://www.sockwellusa.com/	tls-error	CERT_HAS_EXPIRED
sigotto uomo	https://www.sigotto.com/	tls-error	CERT_HAS_EXPIRED
tatinbags	https://www.tatinbags.com/shop/en/	http-dead	410
saint ape	https://shop.saint-ape.com/	net-error	UND_ERR_CONNECT_TIMEOUT
solmar	https://solmar-shop.pl/ua/	http-dead	404
the vintage store	https://thevintagestore.uk/	http-dead	404
studio italy	https://www.studioitaly.de/	http-dead	404
studio subtl	https://studiosubtl.com/	http-dead	404
think big little people	https://www.thinkbiglittlepeople.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
sergio valente	http://www.svjeans.com/	net-error	UND_ERR_CONNECT_TIMEOUT
skipper bar	https://www.skipperbar.co.za/	http-dead	406
supply & demand	https://www.supplyanddemand.co.uk/	http-dead	404
paddock's	https://www.paddocks-jeans.de/	http-dead	400
thyli	https://thyli.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
sleepy jones	https://sleepyjonestyle.shop-pro.jp/	dns-dead	no A/AAAA @1.1.1.1
spitzbub	https://www.spitzbub.shop/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
tindi	https://maureentindi.com/	tls-error	CERT_HAS_EXPIRED
therapina	http://therapina.com/	http-dead	402
stefan brandt	https://stefanbrandt.com/	net-error	UND_ERR_SOCKET
vakrata	https://vakrata.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
spangeltangel	https://www.spangeltangelshop.de/de/	http-dead	404
suit	https://www.suit.dk/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
ssōne	https://ssone.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
thistlescotch	http://tthistlesscotch.com/	http-dead	409
tresor	https://tresorjewelspk.com/	http-dead	402
svea clothing	https://www.sveasvea.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
tif tiffy denmark	https://tiftiffy.com/	http-dead	404
upwear	https://upwearapparel.com/shop-now/	http-dead	404
stylethics	https://stylethicsto.com/	tls-error	CERT_HAS_EXPIRED
stokke	https://www.stokke.com/	net-error	UND_ERR_HEADERS_OVERFLOW
viable vegans	https://www.viablevegans.com/	http-dead	409
storm & marie	https://www.stormandmarie.com/	tls-error	CERT_HAS_EXPIRED
rjsebastian	https://www.rjsebastian.net/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
sparkz copenhagen	https://www.sparkz.dk/	net-error	UND_ERR_CONNECT_TIMEOUT
xxzxx	http://www.xxzxxvip.com/	net-error	UND_ERR_SOCKET
sirens & starlight	https://www.sirensandstarlight.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
spiritualshirt	https://www.spiritualshirt.com/	net-error	ECONNRESET
rodo	https://uk.rodo.it/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
taifun	https://www.gerryweber.com/en-eu/brands/taifun/	http-dead	404
tobias & the bear	https://www.tobiasandthebear.com/	http-dead	402
tokio inkarami	http://www.wikidata.org/.well-known/genid/ffbf3c0e54c07fbcce1bc8cba8cd3bc0	http-dead	404
topvalu	https://www.topvalu.net/items/category/200000000/	http-dead	404
zettia	https://zettia.es/	net-error	redirect count exceeded
the blue suit	https://www.thebluesuit.ch/	server-error	530
zoe karssen	https://zoekarssen.com/	dns-dead	no A/AAAA @1.1.1.1
paperthinks	https://paperthinks.us/	net-error	UND_ERR_CONNECT_TIMEOUT
souldaze	http://www.souldazecollection.com/	server-error	500
sogo	http://www.sogo-gogo.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the suss edit	https://thesussedit.com/	http-dead	402
the q collection	https://carolynquan.com/clothing/	http-dead	404
solito scarfs	https://www.solito.eu/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
tuikauri	https://tuikauri.com/	dns-dead	no A/AAAA @1.1.1.1
sunsuelle	https://www.sunsuelle.com/	net-error	ECONNREFUSED
umbrella ink merch	https://www.ebay.com.au/str/umbrellainkmerch	http-dead	410
stitches	https://urban-planet.com/pages/stitches	http-dead	404
uptown studio designs	https://uptownstudiodesign.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vertmax design	https://vertmaxdesign.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
woman within	https://www.womanwithin.com/	http-dead	433
tike studio	https://www.tikestudio.com/he/home	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
saint e	https://saint-e.world/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
turtledove	https://www.turtledovelondon.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
tlczm	https://www.houseoftlczm.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
three floor	https://www.threefloor.com/	net-error	ECONNRESET
suave	https://www.suaveshoes.com/	http-dead	404
sylvie eder	https://www.girlsbestfriends.de/	net-error	UND_ERR_CONNECT_TIMEOUT
stacy adams	http://www.stacyadams.com/shop/index.html	http-dead	404
tolu coker	https://tolucoker.com/	http-dead	404
the creative bag company	https://thecreativebagcompany.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
tie rack	https://www.draegerparis.com/pages/accueil-tie-rack	http-dead	404
we rock.	https://www.werock.store/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
three peaks clothing	https://www.threepeaksclothing.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
uncle sam	https://www.unclesamshop.com/de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
tag heuer	https://www.tagheuer.com/	net-error	redirect count exceeded
po:dl	https://podl.co.kr/	dns-dead	no A/AAAA @1.1.1.1
tanni	http://www.tanni.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
supernatural	https://supernatural.com/	http-dead	423
pop bag usa	https://popbagusa.com/	http-dead	404
traki	https://home.traki.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
touch body works	http://www.evoketouch.com/	net-error	UND_ERR_CONNECT_TIMEOUT
vibram fivefingers	https://vibram.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
swildens	https://www.swildens.fr/	http-dead	404
wal & pai	https://walandpaifootwear.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
taeve africa	https://www.taeveafrica.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
tremblepierre	https://www.tremblepierre.com/	net-error	ECONNREFUSED
tali and tasi	https://www.tasitravels.com/?oid=133&affid=1&source_id=GoY-rating&sub1=brandpage	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
velveteen	https://velveteenclothing.com/	http-dead	402
trophy clothing	https://www.trophy-clothing.com/	dns-dead	no A/AAAA @1.1.1.1
turtledove london	https://www.turtledovelondon.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
wholesome culture	https://www.wholesomeculture.com/	http-dead	404
terra dea	https://www.terradea.com.au/	http-dead	404
the moonrise project	https://www.diamondbrandgear.com/the-moonrise-project/	http-dead	404
veshh-eon	https://veshheon.in/	dns-dead	no A/AAAA @1.1.1.1
suza	https://fashion-suza.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
walveey	https://www.walveey.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
trophycatch supply	https://trophycatch.supply/	http-dead	423
under armour	https://www.underarmour.com/	http-dead	418
tsau	https://tsaustore.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
trespass	https://www.trespass.com/	net-error	redirect count exceeded
unravel project	https://www.bentavernitiunravelproject.com/	dns-dead	no A/AAAA @1.1.1.1
walk heart espadrilles	https://walkheart.org/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
silou	https://siloulondon.com/	http-dead	402
top charoen	https://www.topcharoen.co.th/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
valet studio	https://www.valetstudio.com/	http-dead	402
vercelli	https://www.lvdishop.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
von ruz	https://www.vonruz.com/	http-dead	404
the women's locker	https://www.thewomenslocker.com/	http-dead	402
younman	https://www.youngman.com.tw/	tls-error	ERR_SSL_DH_KEY_TOO_SMALL
rapisardi	https://www.nrrapisardi.it/	net-error	ECONNRESET
threadoire	https://threadoire.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the leather expert shop	https://theleatherexpertshop.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
walk london	https://eu.walklondonshoes.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
yves enzo	https://www.yvesenzo.fr/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
skurk kids	https://www.skurk.nl/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
yellowpelota	https://www.yellowpelota.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the east order	https://www.theeastorder.com.au/	dns-dead	no A/AAAA @1.1.1.1
we are hah	https://www.wearehah.com/	http-dead	402
veronica gautschi	https://www.veronicagautschi.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
werq	https://www.wearwerq.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
ysabel mora	https://fr.ysabelmora.com/	server-error	500
xios	http://www.xiosamerica.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
wormland	https://www.wormland.de/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
zoriana	https://www.zoriana.es/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
roccoban berlin	https://roccoban.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vintalia	https://vintaliabags.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
wolvis	https://www.wolvis.be/shop/p/olive-beanie	http-dead	404
yueyaer	http://www.yueyaer.com.cn/	dns-dead	no A/AAAA @1.1.1.1
vyom london	https://vyom.london/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vera mont	https://www.veramont.com/	net-error	UND_ERR_CONNECT_TIMEOUT
yuvita linens	https://yuvitalinens.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vekem	https://www.vekem.com/gomlek	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
stulpenkult	https://www.stulpenkult.de/	net-error	ECONNRESET
vg sara x	http://vgsarax.ca/	http-dead	423
sage and veda	http://www.sageandveda.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
stefford	https://steffordonline.com/	tls-error	CERT_HAS_EXPIRED
tween brands	https://www.shopjustice.com/	tls-error	CERT_HAS_EXPIRED
why red	https://whyred.com/	tls-error	CERT_HAS_EXPIRED
van gils	https://www.vangils.eu/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
youkeshu	https://www.yesstyle.com/en/youkeshu/list.html/bpt.299_bid.327728	http-dead	404
troubadour	https://www.troubadourgoods.com/	net-error	redirect count exceeded
zuzabartshopoutlet	http://zuzabart.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
west activewear	https://westactivewear.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vihe	http://www.vihe.com.br/	http-dead	409
zizo	https://www.zi-zo.com/	tls-error	CERT_HAS_EXPIRED
therma kōta	https://thermakota.com/	http-dead	404
wsly	https://www.bandier.com/collections/wsly	http-dead	404
zhejiang aokang shoes co.  ltd.	https://www.aokang.com/	dns-dead	no A/AAAA @1.1.1.1
wakayama kintetsu department store	http://www.w-kintetsu.co.jp/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
vitos 1925	https://www.vitos1925.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
wolf and zephyr	https://wolfandzephyr.com/	http-dead	404
zense sportswear	https://www.zense-sportswear.com/	server-error	500
wewood	https://www.we-wood.com/	server-error	526
voltage sport	https://voltagesport.com/	http-dead	402
wknd apparel	https://wknd-apparel.com/	server-error	521
vibe harsløf	https://www.vibeharsloef.dk/	http-dead	404
the mr.crossbow co.	https://mrcrossbow.com/	http-dead	404
thecaityperry	https://justjohnsonscreations.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
the vampires wife	https://thevampireswife.com/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
workman	https://www.workman.jp/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
unmade	https://www.unmade.dk/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
wasted atelier	https://wastedatelier.be/	server-error	526
ziggy zoog	https://ziggyzoog.com/	http-dead	402
umòja shoes	https://umoja-shoes.com/	dns-dead	no A/AAAA @1.1.1.1
zemna	https://www.zemna.eu/	http-dead	404
zawadee	https://www.zawadee.com/	http-dead	402
with sense	https://merci-saga.com/c/all_brand/WITHSENSE	net-error	UND_ERR_CONNECT_TIMEOUT
огgапiсаliьrа	http://www.somelove.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
zalie	https://zalie.com.au/	tls-error	CERT_HAS_EXPIRED
xocoi	https://xocoi.net/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
u/ti	http://www.u-ti.com/	http-dead	404
uncl	https://www.shopuncl.com/	tls-error	CERT_HAS_EXPIRED
van harper	https://vanharper.com/	http-dead	409
william tell leather co	https://www.williamtellleather.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
suburbia	http://www.suburbia.com.mx/	net-error	redirect count exceeded
warren james	https://www.warrenjames.co.uk/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
yume	https://yumelabel.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
vidorreta	https://www.calzadosvidorreta.com/	net-error	UND_ERR_CONNECT_TIMEOUT
virus international	https://eu.virusintl.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
yu stepanel	https://www.yu-stepanel.com/	net-error	ECONNRESET
zuska art	https://www.zuskaart.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
twins & trackstyle	https://www.twins-trackstyle.nl/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
xabarwan	https://xabarwan.com/	http-dead	402
vyayama	https://www.vyayama.com/	net-error	ECONNRESET
wemoto	https://wemotoclothing.com/en/	http-dead	404
zag bijoux	https://corry-van-gruijthuijsen.nl/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
