maison,careers_domain,kind,entry_url,job_url_pattern,robots_verdict,job_count,verified
"Annmarie Skin Care","www.annmariegianni.com","generic-listing","{""startUrl"":""https://www.annmariegianni.com/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ansemiu","recruit.adastria.co.jp","generic-listing","{""startUrl"":""https://recruit.adastria.co.jp/information/career-plan.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Apricot","www.apricotonline.co.uk","teamtailor","{""origin"":""https://www.apricotonline.co.uk""}","","TEAMTAILOR widget detected on www.apricotonline.co.uk","","anchored"
"apart by lowrys","recruit.adastria.co.jp","generic-listing","{""startUrl"":""https://recruit.adastria.co.jp/information/career-plan.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Arc'teryx","arcteryx.com","generic-listing","{""startUrl"":""https://arcteryx.com/fr/fr/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"arena","about.arenasport.com","generic-listing","{""startUrl"":""https://about.arenasport.com/it/carriere/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Aroma-Zone","careers.aroma-zone.com","teamtailor","{""origin"":""https://careers.aroma-zone.com""}","","Tech-scan: careers.aroma-zone.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Army Logic","hypebeast.cn","lever","{""site"":""hypebeast""}","","ATS link discovered on https://hypebeast.cn/tags/army-logic","","anchored"
"ARROW","careers.arrow.com","generic-listing","{""startUrl"":""https://careers.arrow.com""}","","Tech-scan: careers.arrow.com CNAMEs to PHENOM; no page read. (needs slug — review)","","anchored"
"Aroma Home","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Aromatherapy Rituals","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Arthur","careers.arthur.fr","generic-listing","{""startUrl"":""https://careers.arthur.fr/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Astrid & Miyu","www.astridandmiyu.com","teamtailor","{""origin"":""https://www.astridandmiyu.com""}","","TEAMTAILOR widget detected on www.astridandmiyu.com","","anchored"
"Atelier Munro","career.ateliermunro.com","generic-listing","{""startUrl"":""https://career.ateliermunro.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ATO Berlin","www.atoberlinshop.de","generic-listing","{""startUrl"":""https://www.atoberlinshop.de/Informationen/Jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Attaquer","attaquercycling.com","generic-listing","{""startUrl"":""https://attaquercycling.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Aulico","jobs.main.jp","generic-listing","{""startUrl"":""https://jobs.main.jp/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"AveSeena","careers.aveseena.com","generic-listing","{""startUrl"":""https://careers.aveseena.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ayana","ayana.co.za","generic-listing","{""startUrl"":""https://ayana.co.za/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"B2","careers.brownsshoes.com","teamtailor","{""origin"":""https://careers.brownsshoes.com""}","","TEAMTAILOR widget detected on careers.brownsshoes.com","","anchored"
"ba&sh","talents.ba-sh.com","generic-listing","{""startUrl"":""https://talents.ba-sh.com/fr-FR/offres""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"BadRhino","www.badrhino.com","generic-listing","{""startUrl"":""https://www.badrhino.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Balagan Studio","career.balaganstudio.com","generic-listing","{""startUrl"":""https://career.balaganstudio.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"banesh","jobs.thebase.in","generic-listing","{""startUrl"":""https://jobs.thebase.in/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Banter by Piercing Pagoda","www.banter.com","workday","{""tenant"":""signetjewelers"",""site"":""Banter"",""origin"":""https://signetjewelers.wd1.myworkdayjobs.com""}","","ATS link discovered on https://www.banter.com/now-hiring?icid=FOOTER:HIRING","","anchored"
"Bass Pro Shops","careers.basspro.com","generic-listing","{""startUrl"":""https://careers.basspro.com""}","","Tech-scan: careers.basspro.com CNAMEs to PHENOM; no page read. (needs slug — review)","","anchored"
"Beaumont Bags","talent.bigcartel.com","generic-listing","{""startUrl"":""https://talent.bigcartel.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"BEAUTY BAY","careers.beautybay.com","generic-listing","{""startUrl"":""https://careers.beautybay.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Beauty Zone","beautyzone.co.za","generic-listing","{""startUrl"":""https://beautyzone.co.za/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Beauty Success","recrutement.beautysuccess.fr","generic-listing","{""startUrl"":""https://recrutement.beautysuccess.fr/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Belstaff","careers.belstaff.com","teamtailor","{""origin"":""https://careers.belstaff.com""}","","Tech-scan: careers.belstaff.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Bentley","jobs.bentley.com","successfactors","{""origin"":""https://jobs.bentley.com""}","","Tech-scan: jobs.bentley.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Ben Sherman","www.bensherman.com","generic-listing","{""startUrl"":""https://www.bensherman.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Bestseller","www.bestseller.com","generic-listing","{""startUrl"":""http://www.bestseller.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Beyond Yoga","www.beyondyoga.com","workday","{""tenant"":""levistraussandco"",""site"":""en-US"",""origin"":""https://levistraussandco.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.beyondyoga.com/pages/career-internships","","anchored"
"Bevilles Jewellers","careers.bevilles.com.au","generic-listing","{""startUrl"":""https://careers.bevilles.com.au/jobs/search?_gl=1%2A2x44re%2A_gcl_au%2AMjA5MDY4MjgwMi4xNzQ3Nzk1NjAxLjQyMzI4NDQ0Ny4xNzUxNDA5MTczLjE3NTE0MDkxNzM.""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"BIG STAR","jobs.bigstar.pl","generic-listing","{""startUrl"":""https://jobs.bigstar.pl/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Bik Bok","bikbok.com","generic-listing","{""startUrl"":""https://bikbok.com/en/corporate/about-bik-bok/career/work-at-bik-bok/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Bikini Village","www.bikinivillage.com","generic-listing","{""startUrl"":""https://www.bikinivillage.com/en/career""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Beyond the Rack","beyondtherack.com","generic-listing","{""startUrl"":""http://beyondtherack.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Birkenstock","jobs.birkenstock.com","successfactors","{""origin"":""https://jobs.birkenstock.com""}","","Tech-scan: jobs.birkenstock.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Blu Ink Nail Lacquer","career.bluinknailacquer.com","generic-listing","{""startUrl"":""https://career.bluinknailacquer.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Body Glove","careers.bodyglove.com","generic-listing","{""startUrl"":""https://careers.bodyglove.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Boinas Elósegui","careers.boinaselosegui.com","generic-listing","{""startUrl"":""https://careers.boinaselosegui.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Boll & Branch","careers.bollandbranch.com","generic-listing","{""startUrl"":""https://careers.bollandbranch.com/#""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"boohoo","www.boohoo.com","generic-listing","{""startUrl"":""https://www.boohoo.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"bosco","www.bosco.ru","generic-listing","{""startUrl"":""https://www.bosco.ru/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Boscov's","careers.boscovs.com","generic-listing","{""startUrl"":""https://careers.boscovs.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Boutique La Vie en rose","www.lavieenrose.com","generic-listing","{""startUrl"":""https://www.lavieenrose.com/en/career""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Bravissimo","careers.bravissimo.com","teamtailor","{""origin"":""https://careers.bravissimo.com""}","","Tech-scan: careers.bravissimo.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Breitling","careers.breitling.com","successfactors","{""origin"":""https://careers.breitling.com""}","","Tech-scan: careers.breitling.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Bremont","www.bremont.com","teamtailor","{""origin"":""https://www.bremont.com""}","","TEAMTAILOR widget detected on www.bremont.com","","anchored"
"Bremont Watch Company","www.bremont.com","teamtailor","{""origin"":""http://www.bremont.com""}","","TEAMTAILOR widget detected on www.bremont.com","","anchored"
"Bread & Boxers","breadandboxers.com","generic-listing","{""startUrl"":""https://breadandboxers.com/job""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Brocard","www.brocard.ua","generic-listing","{""startUrl"":""https://www.brocard.ua/ua/career-and-vacancies""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Brompton & Langley","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Brompton & Langley Men's","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"BRAX","career.brax.com","generic-listing","{""startUrl"":""https://career.brax.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Browns","www.brownsfashion.com","lever","{""site"":""farfetch""}","","ATS link discovered on https://www.brownsfashion.com/","","anchored"
"BROWNS JEWELLERS","brownsjewellers.com","generic-listing","{""startUrl"":""https://brownsjewellers.com/en-eu/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Bubble","hellobubble.com","greenhouse","{""board"":""bubbleskincare""}","","ATS link discovered on http://hellobubble.com/","","anchored"
"Buck Mason","www.buckmason.com","generic-listing","{""startUrl"":""https://www.buckmason.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"BUFF","work-with-us.buff.com","teamtailor","{""origin"":""https://work-with-us.buff.com""}","","TEAMTAILOR widget detected on work-with-us.buff.com","","anchored"
"Buddy & Hope","career.babyshop.com","generic-listing","{""startUrl"":""https://career.babyshop.com/jobs/317245-senior-pricing-and-campaign-specialist""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Burnt","careers.burnt.co.za","teamtailor","{""origin"":""https://careers.burnt.co.za""}","","Tech-scan: careers.burnt.co.za CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Burlington","www.burlington.com","generic-listing","{""startUrl"":""https://www.burlington.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"By Malina","www.bymalina.com","generic-listing","{""startUrl"":""https://www.bymalina.com/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"C by Stories","careers.cbystories.nl","generic-listing","{""startUrl"":""https://careers.cbystories.nl/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"C&A","www.c-and-a.com","generic-listing","{""startUrl"":""https://www.c-and-a.com/fr/fr/corporate/qui-sommes-nous/carriere""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Café Costume","cafecostume.com","generic-listing","{""startUrl"":""https://cafecostume.com/jobs/#1719922803572-7-6""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Çalık Holding","careers.calik.com","successfactors","{""origin"":""https://careers.calik.com""}","","Tech-scan: careers.calik.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"BZB","recrutement.b-z-b.com","teamtailor","{""origin"":""https://recrutement.b-z-b.com""}","","TEAMTAILOR widget detected on recrutement.b-z-b.com","","anchored"
"CALIDA","www.calida.com","generic-listing","{""startUrl"":""https://www.calida.com/fr-fr/cms/carriere-sursee/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"CAMPER","careers.camper.com","teamtailor","{""origin"":""https://careers.camper.com""}","","Tech-scan: careers.camper.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Canyon","careers.canyon.com","successfactors","{""origin"":""https://careers.canyon.com""}","","Tech-scan: careers.canyon.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Captain Santors","www.captainsantors.it","generic-listing","{""startUrl"":""https://www.captainsantors.it/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Carhartt WIP","www.carhartt-wip.com","workday","{""tenant"":""carharttwip"",""site"":""en-en"",""origin"":""https://carharttwip.wd103.myworkdayjobs.com""}","","ATS link discovered on https://www.carhartt-wip.com/","","anchored"
"Carl Zeiss AG","www.zeiss.de","generic-listing","{""startUrl"":""https://www.zeiss.de/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Castore","careers.castore.com","teamtailor","{""origin"":""https://careers.castore.com""}","","Tech-scan: careers.castore.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Cath Kidston","careers.cathkidston.com","teamtailor","{""origin"":""https://careers.cathkidston.com""}","","Tech-scan: careers.cathkidston.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Catbird","www.catbirdnyc.com","lever","{""site"":""Catbird""}","","ATS link discovered on https://www.catbirdnyc.com/careers","","anchored"
"Cecilie Bahnsen","careers.ceciliebahnsen.com","generic-listing","{""startUrl"":""https://careers.ceciliebahnsen.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Century Time Gems Ltd","www.century.com","generic-listing","{""startUrl"":""https://www.century.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"CHASIN'","careers.chasin.com","generic-listing","{""startUrl"":""https://careers.chasin.com""}","","Tech-scan: careers.chasin.com CNAMEs to RECRUITEE; no page read. (needs slug — review)","","anchored"
"Charuel","www.charuel.ru","generic-listing","{""startUrl"":""https://www.charuel.ru/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Chaussea","jobs.chaussea.com","generic-listing","{""startUrl"":""https://jobs.chaussea.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Chemmanur International Jewellers","www.chemmanurinternational.com","generic-listing","{""startUrl"":""https://www.chemmanurinternational.com/Careers/job-vacancies""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Chico's","jobs.chicos.com","workday","{""tenant"":""knitwellgroup"",""site"":""Canada_Jobs"",""origin"":""https://knitwellgroup.wd1.myworkdayjobs.com""}","","ATS link discovered on https://jobs.chicos.com/","","anchored"
"Chicorée Mode","chicoree.ch","generic-listing","{""startUrl"":""https://chicoree.ch/fr/vetements-femmes/offres/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Chrome","chromeindustries.com","greenhouse","{""board"":""chromeindustries""}","","ATS link discovered on https://chromeindustries.com/pages/careers","","anchored"
"City Beach","careers.citybeach.com","successfactors","{""origin"":""https://careers.citybeach.com""}","","Tech-scan: careers.citybeach.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Citizen Watch","jobs.citizen.co.jp","generic-listing","{""startUrl"":""https://jobs.citizen.co.jp/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"CJ Schmidt","www.cjschmidt.de","generic-listing","{""startUrl"":""https://www.cjschmidt.de/modehaus/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Club L London","careers.clubllondon.com","teamtailor","{""origin"":""https://careers.clubllondon.com""}","","Tech-scan: careers.clubllondon.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Cloré Beauty Supply","www.clorebeauty.com","generic-listing","{""startUrl"":""https://www.clorebeauty.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Cmeo Collective","careers.cmeocollective.com","generic-listing","{""startUrl"":""https://careers.cmeocollective.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Cognitive Surplus","careers.cognitive-surplus.com","generic-listing","{""startUrl"":""https://careers.cognitive-surplus.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"COLE BUXTON","www.colebuxton.com","generic-listing","{""startUrl"":""https://www.colebuxton.com/blogs/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Colmar Originals","www.colmar.it","generic-listing","{""startUrl"":""https://www.colmar.it/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Color Street","www.colorstreet.com","greenhouse","{""board"":""innovativecosmeticconcepts""}","","ATS link discovered on http://www.colorstreet.com/pages/careers","","anchored"
"Companeros","careers.companeros.com","generic-listing","{""startUrl"":""https://careers.companeros.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Connor","www.connor.com.au","generic-listing","{""startUrl"":""https://www.connor.com.au/nz/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Corîu","careers.coriuleatherbags.com","generic-listing","{""startUrl"":""https://careers.coriuleatherbags.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Coty","careers.coty.com","successfactors","{""origin"":""https://careers.coty.com""}","","Tech-scan: careers.coty.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Cotton Traders","www.cottontraders.com","generic-listing","{""startUrl"":""https://www.cottontraders.com/cotton-traders-careers/careers-home.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Create IT","jobs.createit.com","generic-listing","{""startUrl"":""https://jobs.createit.com""}","","Tech-scan: jobs.createit.com CNAMEs to RECRUITEE; no page read. (needs slug — review)","","anchored"
"Crocs","careers.crocs.com","successfactors","{""origin"":""https://careers.crocs.com""}","","Tech-scan: careers.crocs.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Custom Ink","www.customink.com","workday","{""tenant"":""customink"",""site"":""CustomInk"",""origin"":""https://customink.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.customink.com/careers","","anchored"
"CycleBand","www.cycleband.com","generic-listing","{""startUrl"":""https://www.cycleband.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Damin","careers.damin.de","generic-listing","{""startUrl"":""https://careers.damin.de/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Danielle Creations","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Danshar","www.danshar.co.il","generic-listing","{""startUrl"":""https://www.danshar.co.il/new-careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"David's Bridal","jobs.davidsbridal.com","generic-listing","{""startUrl"":""https://jobs.davidsbridal.com/career-areas""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"dd's Discounts","www.ddsdiscounts.com","generic-listing","{""startUrl"":""https://www.ddsdiscounts.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"DECJUBA","careers.decjuba.com.au","successfactors","{""origin"":""https://careers.decjuba.com.au""}","","Tech-scan: careers.decjuba.com.au CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Debenhams","www.debenhams.com","generic-listing","{""startUrl"":""https://www.debenhams.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dedicated","careers.dedicatedbrand.com","generic-listing","{""startUrl"":""https://careers.dedicatedbrand.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Deiters","www.deiters.de","generic-listing","{""startUrl"":""https://www.deiters.de/c/informationen/jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Delta-galil Industries Ltd.","www.deltagalil.com","generic-listing","{""startUrl"":""https://www.deltagalil.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Deka Lash","dekalash.com","generic-listing","{""startUrl"":""https://dekalash.com/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dépil Tech","www.depiltech.com","generic-listing","{""startUrl"":""https://www.depiltech.com/fr/offres/193/fr/actualites""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Devoted By Zizzi","www.zizzi.dk","generic-listing","{""startUrl"":""https://www.zizzi.dk/job/c47833.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Di","jobs.di.be","generic-listing","{""startUrl"":""https://jobs.di.be/fr/index.aspx""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dickies","www.dickies.com","workday","{""tenant"":""vfc"",""site"":""dickies_careers"",""origin"":""https://vfc.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.dickies.com/en-us/pages/careers","","anchored"
"Dilling","uk.dilling.com","generic-listing","{""startUrl"":""https://uk.dilling.com/""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
