url_morte	domaine_teste	resultat	detail	marques
https://careers.desigual.com	desigual.com	GENERIC_JSONLD	https://jobs.desigual.com/?locale=fr_FR conf=0.45 | Careers page detected (host/links); generic crawler — needs a human check.	Desigual
https://careers.craft.se	craft.se	rien		Craft
https://careers.drmartens.com	drmartens.com	GENERIC_JSONLD	https://jobs.drmartens.com/ conf=0.45 | Careers page detected (host/links); generic crawler — needs a human check.	Dr. Martens
https://careers.delsey.com	delsey.com	rien		Delsey
https://careers.descente.co.jp	descente.co.jp	rien		Descente
https://careers.eddiebauer.com	eddiebauer.com	rien		Eddie Bauer
https://careers.esprit.com	esprit.com	rien		Esprit
https://careers.fearofgod.com	fearofgod.com	rien		Fear of God
https://careers.fossilgroup.com	fossilgroup.com	rien		Fossil
https://careers.forever21.com	forever21.com	rien		Forever 21
https://careers.fila.com	fila.com	rien		Fila
https://careers.gant.com	gant.com	DIGITALRECRUITERS	https://career.gant.com/en conf=0.85 | DIGITALRECRUITERS widget detected on career.gant.com	Gant
https://careers.furla.com	furla.com	rien		Furla
https://careers.frasers.group	frasers.group	rien		Sports Direct
https://careers.hanesbrands.com	hanesbrands.com	GENERIC_JSONLD	https://www.hanesbrands.com/en/careers/ conf=0.45 | Careers page detected (host/links); generic crawler — needs a human check.	Champion
https://careers.frame-store.com	frame-store.com	rien		Frame
https://careers.hobbs.com	hobbs.com	rien		Hobbs
https://careers.herno.com	herno.com	rien		Herno
https://careers.goldwin.co.jp	goldwin.co.jp	rien		Goldwin
https://careers.kurtgeiger.com	kurtgeiger.com	rien		Kurt Geiger
https://careers.holzweiler.com	holzweiler.com	rien		Holzweiler
https://careers.iroparis.com	iroparis.com	rien		Iro
https://careers.isabelmarant.com	isabelmarant.com	rien		Isabel Marant
https://careers.luckybrand.com	luckybrand.com	GENERIC_JSONLD	https://www.luckybrand.com/careers.html conf=0.4 | ATS identifié: iCIMS — aucun adaptateur, ne pas promouvoir	Lucky Brand
https://careers.kith.com	kith.com	rien		Kith
https://careers.macron.com	macron.com	rien		Macron
https://careers.missoni.com	missoni.com	rien		Missoni
https://careers.landsend.com	landsend.com	GENERIC_JSONLD	https://www.landsend.com/careers conf=0.4 | ATS identifié: UKG — aucun adaptateur, ne pas promouvoir	Lands' End
https://careers.mashgroup.jp	mashgroup.jp	rien		Snidel
https://careers.leslipfrancais.fr	leslipfrancais.fr	rien		Le Slip Français
https://careers.off---white.com	off---white.com	rien		Off-White
https://careers.office.co.uk	office.co.uk	rien		Office London
https://careers.palaceskateboards.com	palaceskateboards.com	rien		Palace
https://careers.palmangels.com	palmangels.com	rien		Palm Angels
https://careers.roots.com	roots.com	GENERIC_JSONLD	https://www.roots.com/us/en/careers-page.html conf=0.4 | ATS identifié: Dayforce — aucun adaptateur, ne pas promouvoir	Roots
https://careers.paulandshark.com	paulandshark.com	rien		Paul & Shark
https://careers.robertocavalli.com	robertocavalli.com	rien		Roberto Cavalli
https://careers.rouje.com	rouje.com	rien		Rouje
https://careers.shoppersstop.com	shoppersstop.com	rien		Shoppers Stop
https://careers.revolve.com	revolve.com	rien		Revolve
https://careers.soeur.fr	soeur.fr	TEAMTAILOR	https://www.soeur.fr conf=0.95 | ATS link discovered on https://www.soeur.fr	Soeur
https://careers.rustans.com	rustans.com	rien		Rustan's
https://careers.sergiorossi.com	sergiorossi.com	rien		Sergio Rossi
https://careers.skp-beijing.com	skp-beijing.com	rien		SKP
https://careers.stussy.com	stussy.com	rien		Stüssy
https://careers.tillys.com	tillys.com	rien		Tillys
https://careers.tabio.com	tabio.com	rien		Tabio
https://careers.tally-weijl.com	tally-weijl.com	rien		Tally Weijl
https://careers.toteme-studio.com	toteme-studio.com	TEAMTAILOR	https://www.toteme-studio.com conf=0.95 | ATS link discovered on https://www.toteme-studio.com	Toteme
https://careers.trent-tata.com	trent-tata.com	rien		Westside (Trent)
https://careers.triumph.com	triumph.com	rien		Triumph
https://careers.soliver.com	soliver.com	rien		s.Oliver
https://careers.tom-tailor.com	tom-tailor.com	rien		Tom Tailor
https://careers.vakko.com.tr	vakko.com.tr	rien		Vakko
https://careers.united-arrows.co.jp	united-arrows.co.jp	rien		United Arrows
https://careers.vince.com	vince.com	GENERIC_JSONLD	https://www.vince.com conf=0.4 | ATS identifié: ADP — aucun adaptateur, ne pas promouvoir	Vince
https://careers.wacoal.co.jp	wacoal.co.jp	rien		Wacoal
https://carrieres.fusalp.com	fusalp.com	WTTJ	https://www.fusalp.com conf=0.95 | ATS link discovered on https://www.fusalp.com	Fusalp
https://careers.vilebrequin.com	vilebrequin.com	rien		Vilebrequin
https://carrieres.julien-dorcel.com	julien-dorcel.com	rien		Julien d’Orcel
https://careers.zadig-et-voltaire.com	zadig-et-voltaire.com	rien		Zadig & Voltaire
https://carrieres.carel.fr	carel.fr	rien		Carel
https://carrieres.lecoqsportif.com	lecoqsportif.com	rien		Le Coq Sportif
https://carrieres.letanneur.com	letanneur.com	rien		Le Tanneur
https://carrieres.lisecharmel.com	lisecharmel.com	rien		Lise Charmel
https://carrieres.ikks.com	ikks.com	rien		IKKS
https://carrieres.mephisto.com	mephisto.com	rien		Mephisto
https://jobs.jelmoli.ch	jelmoli.ch	GENERIC_JSONLD	https://jelmoli.ch conf=0.75 | RSS/Atom careers feed found: https://jelmoli.ch/feed/	Jelmoli
https://carrieres.saint-james.fr	saint-james.fr	rien		Saint James
https://jobs.zumiez.com	zumiez.com	GENERIC_JSONLD	https://www.zumiez.com/careers conf=0.4 | ATS identifié: ADP — aucun adaptateur, ne pas promouvoir	Zumiez
https://recrutement.besson-chaussures.com	besson-chaussures.com	rien		Besson Chaussures
https://karriere.breuninger.com	breuninger.com	GENERIC_JSONLD	https://www.breuninger.com conf=0.75 | RSS/Atom careers feed found: https://www.breuninger.com/de/feedback?form_source&#x3D;shop&amp;form_ty	Breuninger
https://trabaja.ripley.cl	ripley.cl	rien		Ripley
https://jobs.muji.com	muji.com	rien		Muji
https://recrutement.bizzbee.com	bizzbee.com	GENERIC_JSONLD	https://www.bizzbee.com conf=0.75 | RSS/Atom careers feed found: https://www.b-z-b.com/feed-mixte.html	Bizzbee
https://recrutement.rougegorge.com	rougegorge.com	rien		RougeGorge
https://trabalheconosco.riachuelo.com.br	riachuelo.com.br	rien		Riachuelo
https://www.farfetch.com/careers	farfetch.com	rien		Farfetch
